ProdA_cum,ProdA_num,ProdB_cum,ProdB_num,Prod_value_cum,Total_Prod_cum,time
0,0,0,0,0,0,43326
0,0,0,0,0,0,43327
0,0,0,0,0,0,43328
0,0,0,0,0,0,43329
0,0,0,0,0,0,43330
0,0,0,0,0,0,43331
0,0,0,0,0,0,43332
0,0,0,0,0,0,43333
0,0,0,0,0,0,43334
0,0,0,0,0,0,43335
0,0,0,0,0,0,43336
0,0,0,0,0,0,43337
0,0,0,0,0,0,43338
0,0,0,0,0,0,43339
0,0,0,0,0,0,43340
0,0,0,0,0,0,43341
0,0,0,0,0,0,43342
0,0,0,0,0,0,43343
0,0,0,0,0,0,43344
0,0,0,0,0,0,43345
0,0,0,0,0,0,43346
0,0,0,0,0,0,43347
0,0,0,0,0,0,43348
0,0,0,0,0,0,43349
0.0526229508196721,0.122950819672131,0,0,0.0362704918032787,0.0526229508196721,43350
0.187827868852459,0.368852459016393,0.0137704918032787,0.0409836065573771,0.155358606557377,0.201598360655738,43351
0.187827868852459,0,0.0137704918032787,0,0.155358606557377,0.201598360655738,43352
0.784754098360656,1.55737704918033,0.0371311475409837,0.0819672131147541,0.643473360655738,0.82188524590164,43353
1.14016393442623,0.983606557377049,0.107377049180328,0.286885245901639,1.01171106557377,1.24754098360656,43354
1.5555737704918,1.10655737704918,0.150532786885246,0.122950819672131,1.37503073770492,1.70610655737705,43355
2.02532786885246,1.27049180327869,0.150532786885246,0,1.75617827868852,2.17586065573771,43356
2.78831967213115,2.00819672131148,0.166106557377049,0.0409836065573771,2.3690881147541,2.9544262295082,43357
3.13077868852459,0.901639344262295,0.166106557377049,0,2.63957991803279,3.29688524590164,43358
3.13077868852459,0,0.166106557377049,0,2.63957991803279,3.29688524590164,43359
3.93315573770492,1.9672131147541,0.166106557377049,0,3.23957991803279,4.09926229508197,43360
4.52254098360656,1.55737704918033,0.180983606557377,0.0409836065573771,3.72520491803279,4.70352459016394,43361
5.07930327868853,1.55737704918033,0.180983606557376,0,4.20020491803279,5.2602868852459,43362
5.35540983606557,0.778688524590164,0.207991803278688,0.0819672131147541,4.45895491803279,5.56340163934426,43363
5.92954918032787,1.68032786885246,0.22155737704918,0.0409836065573771,4.98207991803279,6.15110655737705,43364
6.33147540983607,1.14754098360656,0.22155737704918,0,5.33207991803279,6.55303278688525,43365
6.33147540983607,0,0.22155737704918,0,5.33207991803279,6.55303278688525,43366
7.50463114754098,3.27868852459016,0.248319672131148,0.0819672131147541,6.37007172131148,7.75295081967213,43367
8.32922131147541,2.62295081967213,0.258278688524589,0.0409836065573771,7.19398565573771,8.5875,43368
8.76065573770492,1.39344262295082,0.258278688524589,0,7.62595286885246,9.01893442622951,43369
9.3197131147541,1.80327868852459,0.258278688524589,0,8.18496926229508,9.57799180327869,43370
9.66729508196721,1.0655737704918,0.258278688524589,0,8.51529713114754,9.9255737704918,43371
9.97233606557377,0.860655737704918,0.258278688524589,0,8.78210040983607,10.2306147540984,43372
9.97233606557377,0,0.258278688524589,0,8.78210040983607,10.2306147540984,43373
10.5747131147541,1.47540983606557,0.258278688524589,0,9.24685450819672,10.8329918032787,43374
10.5747131147541,0,0.258278688524589,0,9.24685450819672,10.8329918032787,43375
12.0024180327869,3.48360655737705,0.285040983606555,0.0819672131147541,10.366137295082,12.2874590163934,43376
12.4003278688525,1.02459016393443,0.285040983606555,0,10.6888831967213,12.685368852459,43377
12.8958196721312,1.31147540983607,0.29635245901639,0.0409836065573771,11.1129713114754,13.1921721311475,43378
13.3402049180328,0.983606557377049,0.29635245901639,0,11.4228073770492,13.6365573770492,43379
13.3402049180328,0,0.29635245901639,0,11.4228073770492,13.6365573770492,43380
14.5675819672131,3.11475409836066,0.314754098360652,0.0409836065573771,12.4306762295082,14.8823360655738,43381
15.2960245901639,1.92622950819672,0.327295081967209,0.0409836065573771,13.0582172131148,15.6233196721311,43382
15.4672540983607,0.450819672131148,0.327295081967209,0,13.2024795081967,15.7945491803279,43383
15.8434836065574,0.942622950819672,0.369303278688522,0.163934426229508,13.5487090163934,16.2127868852459,43384
16.2572540983607,1.31147540983607,0.380409836065571,0.0409836065573771,13.9795286885246,16.6376639344262,43385
16.7394262295082,1.27049180327869,0.422622950819672,0.122950819672131,14.4195286885246,17.1620491803279,43386
16.7394262295082,0,0.422622950819672,0,14.4195286885246,17.1620491803279,43387
17.6368852459016,2.29508196721312,0.422622950819672,0,15.1711680327869,18.0595081967213,43388
17.9256557377049,0.737704918032787,0.422622950819672,0,15.4127663934426,18.3482786885246,43389
18.8748360655738,2.62295081967213,0.457377049180327,0.122950819672131,16.3060092213115,19.3322131147541,43390
19.2439344262295,1.02459016393443,0.47545081967213,0.0819672131147541,16.6643801229508,19.7193852459016,43391
19.5442213114754,0.819672131147541,0.528770491803275,0.204918032786885,16.9898668032787,20.0729918032787,43392
20.0670901639344,1.47540983606557,0.528770491803275,0,17.4730635245902,20.5958606557377,43393
20.0670901639344,0,0.528770491803275,0,17.4730635245902,20.5958606557377,43394
20.5127459016393,1.14754098360656,0.528770491803275,0,17.8574897540984,21.0415163934426,43395
20.9940163934426,1.27049180327869,0.528770491803275,0,18.2831045081967,21.5227868852459,43396
21.6516393442623,1.72131147540984,0.528770491803275,0,18.859743852459,22.1804098360656,43397
22.0076639344262,0.942622950819672,0.528770491803275,0,19.1755225409836,22.5364344262295,43398
22.9686065573771,2.5,0.539836065573766,0.0409836065573771,20.0246926229508,23.5084426229508,43399
23.2937704918033,0.860655737704918,0.539836065573766,0,20.313012295082,23.833606557377,43400
