Date,CO2_vip,dx_vip,heating_temp_vip,net_pipe_vip,assim_vip,scr_enrg_vip,scr_blck_vip,vent_templee_vip,vent_tempwind_vip,lee_wind_min_vip
3/4/2022 16:00,1019,5.2,20.2,20.2,61,0,0,26.2,26.2,0
3/4/2022 16:05,1020,5.32,20.2,20.2,67,0,0,26.2,26.2,0
3/4/2022 16:09,1020,5.32,20.2,20.2,67,0,0,26.2,26.2,0
3/4/2022 16:14,1020,5.32,20.2,20.2,68,0,0,26.2,26.2,0
3/4/2022 16:20,1020,5.32,20.2,20.2,68,0,0,26.3,26.3,0
3/4/2022 16:25,1020,5.32,20.2,20.2,68,0,0,26.3,26.3,0
3/4/2022 16:30,1020,5.32,20.3,20.3,68,0,0,26.3,26.3,0
3/4/2022 16:34,1021,5.32,20.3,20.3,69.000001,0,0,26.3,26.3,0
3/4/2022 16:39,1021,3.93,20.3,20.3,78.999999,0,0,26.3,26.3,0
3/4/2022 16:45,1022,3.93,20.3,20.3,79,0,0,26.3,26.3,0
3/4/2022 16:50,1022,3.93,20.3,20.3,79,0,0,26.4,26.4,0
3/4/2022 16:54,1022,3.2,20.4,20.4,86,0,0,26.4,26.4,0
3/4/2022 16:59,1023,3.2,20.4,20.4,87,0,0,26.4,26.4,0
3/4/2022 17:05,1023,3.2,20.4,20.4,87,0,0,26.4,26.4,0
3/4/2022 17:10,1024,2.22,20.4,20.4,92,0,0,26.4,26.4,0
3/4/2022 17:15,1024,2.22,20.4,20.4,92,0,0,26.5,26.5,0
3/4/2022 17:19,1025,3.37,20.5,20.5,96,0,0,26.5,26.5,0
3/4/2022 17:24,1026,3.37,20.5,20.5,97,0,0,26.5,26.5,0
3/4/2022 17:30,1026,3.37,20.5,20.5,97,0,0,26.5,26.5,0
3/4/2022 17:35,1026,7.1,20.5,20.5,100,0,0,26.5,26.5,0
3/4/2022 17:39,1026,7.1,20.5,20.5,100,0,0,26.5,26.5,0
3/4/2022 17:44,1026,7.1,20.5,20.5,100,0,0,26.6,26.6,0
3/4/2022 17:50,1023,2.230001,20.4,20.4,100,0,0,26.4,26.4,0
3/4/2022 17:55,1023,7.1,20.4,20.4,100,0,0,26.4,26.4,0
3/4/2022 18:00,1021,3.39,20.3,20.3,100,0,0,26.2,26.2,0
3/4/2022 18:04,400,7.1,13.3,13.3,100,0,0,26.2,26.2,0
3/4/2022 18:09,400,7.1,13.3,13.3,100,0,0,26.1,26.1,0
3/4/2022 18:15,400,7.1,13.2,13.2,100,0,0,26.1,26.1,0
3/4/2022 18:20,400,7.1,13.2,13.2,100,0,0,26,26,0
3/4/2022 18:24,400,7.1,9.6,9.6,100,0,0,26,26,0
3/4/2022 18:29,400,7.1,9.6,9.6,99.999995,0,0,25.999999,25.999999,1E-05
3/4/2022 18:35,400,7.1,9.6,9.6,50.000007,0,0,19.000001,19.000001,99.999987
3/4/2022 18:40,400,7.1,9.6,9.6,50,0,0,19,19,100
3/4/2022 18:45,400,7.1,7.8,7.8,50,0,0,15.5,15.5,92.5
