,T Air,RH,T Out,RH Out,CO2,Vent Lee,Vent Wind,Exhaust Fan Speed,Blackout Screen,Energy Screen,VPD Air
2024-06-24 06:00:00,21,72,18.4,84,378,100,66,0,0,90,0.6963
2024-06-24 06:05:00,21,72,18.4,84,379,100,73,0,0,90,0.6949
2024-06-24 06:10:00,21,72,18.2,84,381,100,78,0,0,90,0.6949
2024-06-24 06:15:00,20.9,72,18.2,84,381,100,85,0,0,90,0.6935
2024-06-24 06:20:00,21,72,18.2,84,379,100,91,0,0,90,0.6963
2024-06-24 06:25:00,21,72,18.2,84,380,100,99,0,0,90,0.6963
2024-06-24 06:30:00,20.9,72,18.3,84,381,0,0,51,0,90,0.6935
2024-06-24 06:35:00,20.8,72,18.4,83,378,94,29,0,0,90,0.6878
2024-06-24 06:40:00,21.3,70.5,18.5,83,379,0,0,51,0,90,0.7473
2024-06-24 06:45:00,20.8,72,18.5,82,380,24,15,0,0,90,0.6878
2024-06-24 06:50:00,21.2,71,18.6,82,381,76,18,0,0,90,0.7286
2024-06-24 06:55:00,21.2,71,18.7,82,381,0,0,51,0,90,0.7301
2024-06-24 07:00:00,20.9,72,18.7,81,383,52,16,0,0,90,0.6921
2024-06-24 07:05:00,21.6,69,18.8,81,384,0,0,51,0,90,0.7998
2024-06-24 07:10:00,21.2,70.5,18.9,81,382,0,0,51,0,90,0.7442
2024-06-24 07:15:00,21.1,71,18.9,80,383,0,0,51,0,90,0.7256
2024-06-24 07:20:00,21.2,71,19.2,80,383,0,0,51,0,90,0.7301
2024-06-24 07:25:00,21.4,70.5,19.3,80,382,0,0,51,0,90,0.7519
2024-06-24 07:30:00,21.5,70,19.3,79,383,0,0,51,0,90,0.7693
2024-06-24 07:35:00,21.6,70,19.5,79,384,0,0,51,0,90,0.774
2024-06-24 07:40:00,21.8,69,19.6,79,385,0,0,49,0,90,0.808
2024-06-24 07:45:00,22,68.5,19.5,78,385,0,0,49,0,90,0.8311
2024-06-24 07:50:00,22.1,69.5,19.6,78,384,0,0,54,0,90,0.8113
2024-06-24 07:55:00,21.8,72.5,19.7,78,384,0,0,49,0,90,0.7168
2024-06-24 08:00:00,21.6,74,19.8,78,385,0,0,49,0,90,0.6708
2024-06-24 08:05:00,21.8,74,19.8,77,381,0,0,49,0,90,0.6777
2024-06-24 08:10:00,21.5,74.5,20.3,77,381,0,0,99,0,90,0.6539
2024-06-24 08:15:00,21.5,73.5,19.9,76,382,0,0,99,0,90,0.6795
2024-06-24 08:20:00,21.5,72.5,19.9,76,383,0,0,100,0,90,0.7066
2024-06-24 08:25:00,21.8,72,20,76,382,0,0,100,0,90,0.7313
2024-06-24 08:30:00,22.1,70.5,20.5,76,383,0,0,100,0,90,0.7863
2024-06-24 08:35:00,22.3,70,20.2,76,385,0,0,100,0,90,0.8078
2024-06-24 08:40:00,22,72,20.5,76,385,0,0,100,0,90,0.7388
2024-06-24 08:45:00,21.9,73.5,20.5,76,385,0,0,100,0,90,0.6949
2024-06-24 08:50:00,21.9,72.5,20.5,75,385,0,0,95,0,90,0.7241
2024-06-24 08:55:00,22.2,72,20.6,75,384,0,0,94,0,90,0.7493
2024-06-24 09:00:00,22.5,70,21.1,74,382,0,0,92,0,90,0.8176
2024-06-24 09:05:00,22.7,70,21.6,72,381,0,0,85,0,90,0.8276
2024-06-24 09:10:00,22.7,71,21.7,72,384,0,0,84,0,90,0.8
2024-06-24 09:15:00,22.7,71,21.6,71,384,0,0,86,0,90,0.8017
2024-06-24 09:20:00,22.8,70,21.7,70,387,0,0,92,0,90,0.8343
2024-06-24 09:25:00,23,70,22.1,69,386,0,0,99,0,90,0.8428
2024-06-24 09:30:00,23,70.5,22.2,68,385,0,0,97,0,90,0.8271
2024-06-24 09:35:00,23,70,22.6,68,387,0,0,100,0,90,0.8445
2024-06-24 09:40:00,23.1,69.5,22,67,384,0,0,100,0,90,0.862
2024-06-24 09:45:00,23,69.5,22.5,67,382,0,0,100,0,90,0.8569
2024-06-24 09:50:00,23,69.5,22.4,65,383,0,0,100,0,90,0.8569
2024-06-24 09:55:00,23.2,69.5,22.5,65,383,0,0,100,0,90,0.8655
2024-06-24 10:00:00,23.2,69,22.6,64,383,0,0,100,0,90,0.8815
2024-06-24 10:05:00,23.2,68,23.5,64,384,0,0,100,0,90,0.9118
2024-06-24 10:10:00,23.4,68,23.5,63,384,0,0,100,0,90,0.9191
2024-06-24 10:15:00,23.4,68,23.3,61,385,0,0,100,0,90,0.9228
2024-06-24 10:25:00,23.7,68,23.7,63,387,0,0,100,0,90,0.9378
2024-06-24 10:30:00,23.8,67.5,24,61,383,0,0,100,0,90,0.9582
2024-06-24 10:35:00,23.9,67.5,23.6,60,383,0,0,100,0,90,0.962
2024-06-24 10:40:00,23.9,67.5,23.7,60,383,0,0,100,0,90,0.962
2024-06-24 10:45:00,24,68,24.4,60,382,0,0,100,0,90,0.9567
2024-06-24 10:50:00,24.1,67,24.4,59,382,0,0,100,0,90,0.9906
2024-06-24 10:55:00,24,67.5,23.8,59,383,0,0,100,0,90,0.9697
2024-06-24 11:00:00,23.9,67,23.8,59,388,0,0,100,0,90,0.9768
2024-06-24 11:05:00,24.1,66.5,24.2,58,381,0,0,100,0,90,1.0036
2024-06-24 11:10:00,24.1,65.5,24.3,58,384,0,0,100,0,90,1.0377
2024-06-24 11:15:00,24,66,23.8,57,381,0,0,100,0,90,1.0145
2024-06-24 11:20:00,24.2,65,24.2,57,381,0,0,100,0,90,1.0591
2024-06-24 11:25:00,24.6,64.5,23.9,56,379,0,0,100,0,90,1.0958
2024-06-24 11:30:00,24.5,64,24.2,55,376,0,0,100,0,90,1.1068
2024-06-24 11:35:00,24.5,64.5,24.4,56,378,0,0,100,0,90,1.0915
2024-06-24 11:40:00,24.7,63,25,55,379,0,0,100,0,90,1.149
2024-06-24 11:45:00,24.9,62.5,24.3,54,379,0,0,100,0,90,1.1832
2024-06-24 11:50:00,25.2,62,24.3,55,380,0,0,100,0,90,1.2205
2024-06-24 11:55:00,25.4,61.5,24.6,54,381,0,0,100,0,90,1.2514
2024-06-24 12:00:00,25.7,61,25.4,53,382,0,0,100,0,90,1.2878
2024-06-24 12:05:00,25.9,60.5,24.5,53,382,0,0,100,0,90,1.3173
2024-06-24 12:10:00,26,60,25,53,380,0,0,100,0,90,1.3445
2024-06-24 12:15:00,26,59,24.8,51,378,0,0,100,0,90,1.3754
2024-06-24 12:20:00,25.9,59,24.5,51,379,0,0,100,0,90,1.37
2024-06-24 12:25:00,25.9,59.5,25,51,380,0,0,100,0,90,1.356
2024-06-24 12:30:00,26.1,59.5,25.3,51,380,0,0,100,0,90,1.3667
2024-06-24 12:35:00,26,58.5,25.4,50,382,0,0,100,0,90,1.395
2024-06-24 12:40:00,25.9,58.5,25.7,49,382,0,0,100,0,90,1.384
2024-06-24 12:45:00,26,58.5,25.7,49,383,0,0,100,0,90,1.3922
2024-06-24 12:50:00,26.1,57.5,25.6,49,386,0,0,100,0,90,1.437
2024-06-24 12:55:00,26.4,59,25.5,50,381,0,0,100,0,90,1.4111
2024-06-24 13:00:00,26.4,58.5,25.8,49,381,0,0,100,0,90,1.4311
2024-06-24 13:05:00,26.6,58,25.9,47,378,0,0,100,0,90,1.4597
2024-06-24 13:10:00,26.3,58,25.3,48,382,0,0,100,0,90,1.4342
2024-06-24 13:15:00,26.1,58,25.8,48,377,0,0,100,0,90,1.4201
2024-06-24 13:20:00,26.3,57,26.4,46,378,0,0,100,0,90,1.4741
2024-06-24 13:25:00,26.6,56.5,26.4,46,378,0,0,100,0,90,1.5178
2024-06-24 13:30:00,26.9,56.5,25.5,46,378,0,0,100,0,90,1.5448
2024-06-24 13:35:00,26.4,57.5,26.2,48,379,0,0,100,0,90,1.4656
2024-06-24 13:40:00,26.1,58,26,47,382,0,0,100,0,90,1.4173
2024-06-24 13:45:00,25.9,58,26.1,47,377,0,0,100,0,90,1.4034
2024-06-24 13:50:00,25.8,59,25.9,47,377,0,0,100,0,90,1.3619
2024-06-24 13:55:00,25.3,60,25.9,47,376,0,0,100,0,90,1.2924
2024-06-24 14:00:00,24.9,60,25.5,47,375,0,0,100,0,90,1.2595
2024-06-24 14:05:00,25.1,59,26.9,46,374,0,0,100,0,90,1.3065
2024-06-24 14:10:00,25.3,59,26.5,46,373,0,0,100,0,90,1.3221
2024-06-24 14:15:00,25.6,59.5,26.2,46,372,0,0,100,0,90,1.3295
2024-06-24 14:20:00,25.9,58,27.3,46,374,0,0,100,0,90,1.4062
2024-06-24 14:25:00,26.3,57,26.5,45,375,0,0,100,0,90,1.4683
2024-06-24 14:30:00,26,57.5,27.6,47,378,0,0,100,0,90,1.4286
2024-06-24 14:35:00,25.6,58,27.2,46,380,0,0,100,0,90,1.376
2024-06-24 14:40:00,26,58,27.9,44,377,0,0,100,0,90,1.4118
2024-06-24 14:45:00,26,58.5,27.3,45,378,0,0,100,0,90,1.395
2024-06-24 14:50:00,26.3,58,27.6,44,376,0,0,100,0,90,1.4398
2024-06-24 14:55:00,26.6,56.5,28.5,42,379,0,0,100,0,90,1.5148
2024-06-24 15:00:00,26.7,57,27.5,42,377,0,0,100,0,90,1.5063
2024-06-24 15:05:00,26.2,57,27.4,42,378,0,0,100,0,90,1.4654
2024-06-24 15:10:00,26.1,56.5,27.8,42,378,0,0,100,0,90,1.4708
2024-06-24 15:15:00,26.4,56,27.1,41,379,0,0,100,0,90,1.5143
2024-06-24 15:20:00,26.6,55.5,27.1,41,377,0,0,100,0,90,1.5466
2024-06-24 15:25:00,26.9,55,27.6,40,376,0,0,100,0,90,1.5981
2024-06-24 15:30:00,27.1,55,27.6,42,379,0,0,100,0,90,1.6138
2024-06-24 15:35:00,26.8,56,27.7,43,378,0,0,100,0,90,1.5474
2024-06-24 15:40:00,26.1,57,27.1,43,377,0,0,100,0,90,1.4568
2024-06-24 15:45:00,25.7,57,27.1,43,378,0,0,100,0,90,1.4227
2024-06-24 15:50:00,25.7,57.5,27.1,42,377,0,0,100,0,90,1.4034
2024-06-24 15:55:00,26,57,28.1,42,377,0,0,100,0,90,1.4425
2024-06-24 16:00:00,26.1,57,27.8,41,374,0,0,100,0,90,1.4539
2024-06-24 16:05:00,25.9,57.5,27,43,374,0,0,100,0,90,1.4201
2024-06-24 16:10:00,25.5,58.5,26.7,44,374,0,0,100,0,90,1.3542
2024-06-24 16:15:00,25.2,59.5,26.8,44,374,0,0,100,0,90,1.3008
2024-06-24 16:20:00,25.3,59.5,27.5,43,372,0,0,100,0,90,1.3086
2024-06-24 16:25:00,25.1,59.5,27.5,43,370,0,0,100,0,90,1.2931
2024-06-24 16:30:00,24.9,60.5,27.5,44,372,0,0,100,0,90,1.2438
2024-06-24 16:35:00,25.1,60,27.5,44,372,0,0,100,0,90,1.2721
2024-06-24 16:40:00,25.4,60,27.1,45,372,0,0,100,0,90,1.2976
2024-06-24 16:45:00,25.1,59.5,27.8,43,374,0,0,100,0,90,1.288
2024-06-24 16:50:00,24.9,60,27.3,43,369,0,0,100,0,90,1.2595
2024-06-24 16:55:00,24.8,60,27.3,43,372,0,0,100,0,90,1.2521
2024-06-24 17:00:00,24.7,61,27,45,372,0,0,100,0,90,1.2159
2024-06-24 17:05:00,24.6,62,26.9,45,373,0,0,100,0,90,1.1753
2024-06-24 17:10:00,24.5,61.5,26.6,45,372,0,0,100,0,90,1.1813
2024-06-24 17:15:00,24.3,61.5,26.8,45,373,0,0,100,0,90,1.1673
2024-06-24 17:20:00,24.1,61.5,26.9,44,372,0,0,100,0,90,1.158
2024-06-24 17:25:00,24.4,61.5,27.4,43,372,0,0,100,0,90,1.1766
2024-06-24 17:30:00,24.8,60.5,27.6,42,373,0,0,100,0,90,1.2364
2024-06-24 17:35:00,24.7,60.5,27.8,42,374,0,0,100,0,90,1.2266
2024-06-24 17:40:00,24.5,61.5,27.2,43,373,0,0,100,0,90,1.1813
2024-06-24 17:45:00,24.3,61.5,27.4,42,374,0,0,100,0,90,1.1696
2024-06-24 17:50:00,24.2,61,27.8,42,372,0,0,100,0,90,1.1777
2024-06-24 17:55:00,24.4,61,28,40,373,0,0,100,0,90,1.1943
2024-06-24 18:00:00,24.9,60.5,28.7,40,372,0,0,100,0,90,1.2463
2024-06-24 18:05:00,25.3,59.5,29,39,372,0,0,100,0,90,1.3034
2024-06-24 18:10:00,25.6,58.5,28.5,40,374,0,0,100,0,90,1.3623
2024-06-24 18:15:00,25.4,58.5,27.9,40,375,0,0,100,0,90,1.3462
2024-06-24 18:20:00,25.1,59,28.2,40,376,0,0,100,0,90,1.3065
2024-06-24 18:25:00,25.4,59.5,28.3,39,373,0,0,100,0,90,1.3138
2024-06-24 18:30:00,25.4,59.5,27.6,41,372,0,0,100,0,90,1.3138
2024-06-24 18:35:00,25,59.5,27.4,42,375,0,0,100,0,90,1.2829
2024-06-24 18:40:00,24.6,60.5,27.2,42,373,0,0,100,0,90,1.2242
2024-06-24 18:45:00,24.3,60.5,27.1,42,374,0,0,100,0,90,1.2
2024-06-24 18:50:00,24.1,61,27.1,42,374,0,0,100,0,90,1.1707
2024-06-24 18:55:00,24,62,27.1,42,372,0,0,100,0,90,1.1339
2024-06-24 19:00:00,23.9,62,27,42,374,0,0,100,0,90,1.1293
2024-06-24 19:05:00,23.8,62,27.1,42,374,0,0,100,0,90,1.1181
2024-06-24 19:10:00,23.7,62,27,43,372,0,0,100,0,90,1.1114
2024-06-24 19:15:00,23.6,62,27.1,42,374,0,0,100,0,90,1.1091
2024-06-24 19:20:00,23.9,62,27.2,43,373,0,0,100,0,90,1.1271
2024-06-24 19:25:00,24.1,62,27.5,42,375,0,0,100,0,90,1.1407
2024-06-24 19:30:00,24.2,62,27.9,41,371,0,0,100,0,90,1.1475
2024-06-24 19:35:00,24.3,62,27.4,42,373,0,0,100,0,90,1.1567
2024-06-24 19:40:00,24.4,62.5,27.3,44,375,0,0,100,0,90,1.1484
2024-06-24 19:45:00,24.5,62.5,27.5,43,377,0,0,100,0,90,1.1507
2024-06-24 19:50:00,24.5,62,27.9,42,374,0,0,100,0,90,1.1683
2024-06-24 19:55:00,24.4,62,28.1,42,375,0,0,100,0,90,1.1637
2024-06-24 20:00:00,24.4,62,28.5,42,375,0,0,100,0,90,1.1614
2024-06-24 20:05:00,24.3,61.5,28.9,41,376,0,0,100,0,90,1.172
2024-06-24 20:10:00,24.3,62,27.7,42,376,0,0,100,0,90,1.1544
2024-06-24 20:15:00,24.2,62.5,27.6,43,375,0,0,100,0,90,1.1324
2024-06-24 20:20:00,24.1,63,27.5,43,376,0,0,100,0,90,1.1107
2024-06-24 20:25:00,24,63,27.4,44,377,0,0,100,0,90,1.104
2024-06-24 20:30:00,23.9,64,27.2,44,376,0,0,100,0,90,1.0656
2024-06-24 20:35:00,23.7,64.5,27.1,44,376,0,0,100,0,90,1.0424
2024-06-24 20:40:00,23.6,64.5,27,45,374,0,0,100,0,90,1.032
2024-06-24 20:45:00,23.4,65.5,26.4,47,383,0,0,100,0,90,0.9929
2024-06-24 20:50:00,23.2,67,26.2,47,379,0,0,100,0,90,0.9402
2024-06-24 20:55:00,23,67,25.9,48,378,0,0,100,0,90,0.929
2024-06-24 21:00:00,22.8,68,25.9,48,382,0,0,100,0,90,0.89
2024-06-24 21:05:00,22.8,68.5,25.6,48,384,0,0,100,0,90,0.8743
2024-06-24 21:10:00,22.5,69.5,25.7,49,388,0,0,100,0,90,0.8313
2024-06-24 21:15:00,22.3,70,25.8,49,386,0,0,89,0,90,0.8078
2024-06-24 21:20:00,22.1,70.5,24.9,50,391,0,0,83,0,90,0.7863
2024-06-24 21:25:00,22,71,25.3,50,388,0,0,72,0,90,0.7652
2024-06-24 21:30:00,22.1,69.5,25.2,50,377,0,0,77,0,90,0.8097
2024-06-24 21:35:00,22,70.5,25.2,51,387,0,0,76,0,90,0.7815
2024-06-24 21:40:00,21.9,71,25,51,389,0,0,72,0,90,0.7621
2024-06-24 21:45:00,21.9,71.5,25,51,388,0,0,70,0,90,0.7489
2024-06-24 21:50:00,22,70.5,25.1,51,389,0,0,75,0,90,0.7815
2024-06-24 21:55:00,22.1,69.5,24.9,52,389,0,0,78,0,90,0.8113
2024-06-24 22:00:00,22,70.5,24.7,53,395,0,0,74,0,90,0.7799
2024-06-24 22:05:00,21.8,71.5,24.4,54,410,0,0,64,0,90,0.7428
2024-06-24 22:10:00,21.7,71.5,24.3,55,404,0,0,62,0,90,0.7413
2024-06-24 22:15:00,21.8,71.5,24.4,55,404,0,0,62,0,90,0.7428
2024-06-24 22:20:00,21.9,70.5,24.7,55,398,0,0,69,0,90,0.7752
2024-06-24 22:25:00,22,70,24.5,55,396,0,0,75,0,90,0.7932
2024-06-24 22:30:00,21.8,71.5,24.3,55,405,0,0,62,0,90,0.7428
2024-06-24 22:35:00,21.6,73,24.3,56,402,0,0,53,0,90,0.6966
2024-06-24 22:40:00,21.6,73.5,24.1,57,396,0,0,53,0,90,0.6823
2024-06-24 22:45:00,21.6,73.5,24.3,57,402,0,0,56,0,90,0.6851
2024-06-24 22:50:00,21.7,72.5,24.4,56,396,0,0,57,0,90,0.7139
2024-06-24 22:55:00,21.7,72,24.4,56,418,0,0,61,0,90,0.7283
2024-06-24 23:00:00,21.8,71.5,24.5,56,408,0,0,63,0,90,0.7428
2024-06-24 23:05:00,21.9,69.5,24,56,420,0,0,70,0,90,0.8031
2024-06-24 23:10:00,21.7,71.5,24.1,57,421,0,0,62,0,90,0.7398
2024-06-24 23:15:00,21.4,73.5,24.2,57,401,0,0,50,0,90,0.6754
2024-06-24 23:20:00,21.3,74.5,24.1,57,412,0,0,50,0,90,0.6459
2024-06-24 23:25:00,21.2,74.5,24.2,57,407,0,0,50,0,90,0.6433
2024-06-24 23:30:00,21.3,74,24.2,56,397,0,0,50,0,90,0.6586
2024-06-24 23:35:00,21.4,73.5,23.8,57,406,0,0,50,0,90,0.6754
2024-06-24 23:40:00,21.5,72.5,23.9,58,402,0,0,50,0,90,0.7052
2024-06-24 23:45:00,21.6,71,23.8,58,394,0,0,56,0,90,0.7497
2024-06-24 23:50:00,21.9,69.5,24.1,57,391,0,0,68,0,90,0.7998
2024-06-24 23:55:00,21.7,71,23.9,57,393,0,0,61,0,90,0.7543
2024-06-25 00:00:00,21.5,73,24.1,57,390,0,0,52,0,90,0.6924
2024-06-25 00:05:00,21.4,73.5,24.1,57,388,0,0,49,0,90,0.6754
2024-06-25 00:10:00,21.4,73,24.1,57,381,0,0,49,0,90,0.6881
2024-06-25 00:15:00,21.5,72.5,24,57,382,0,0,51,0,90,0.7066
2024-06-25 00:20:00,21.6,71.5,23.8,57,381,0,0,56,0,90,0.7368
2024-06-25 00:25:00,21.7,70.5,23.7,58,382,0,0,61,0,90,0.7673
2024-06-25 00:30:00,21.8,70,23.8,58,382,0,0,64,0,90,0.7835
2024-06-25 00:35:00,21.8,70.5,23.8,59,385,0,0,63,0,90,0.7705
2024-06-25 00:40:00,21.6,72.5,23.6,59,384,0,0,53,0,90,0.7095
2024-06-25 00:45:00,21.4,74,23.6,59,384,0,0,49,0,90,0.6627
2024-06-25 00:50:00,21.3,74,23.5,60,388,0,0,49,0,90,0.66
2024-06-25 00:55:00,21.3,74,23.5,60,388,0,0,49,0,90,0.6586
2024-06-25 01:00:00,21.3,73,23.2,60,385,0,0,49,0,90,0.6839
2024-06-25 01:05:00,21.4,73,23.3,60,384,0,0,49,0,90,0.6867
2024-06-25 01:10:00,21.4,72,23.3,61,384,0,0,49,0,90,0.7151
2024-06-25 01:15:00,21.6,71,22.8,61,386,0,0,54,0,90,0.7497
2024-06-25 01:20:00,21.7,70,22.8,62,395,0,0,59,0,90,0.7788
2024-06-25 01:25:00,21.5,71.5,22.7,62,412,0,0,51,0,90,0.7323
2024-06-25 01:30:00,21.1,74.5,22.5,63,400,0,0,50,0,90,0.6381
2024-06-25 01:35:00,20.9,75.5,22.4,64,396,0,0,50,0,90,0.6056
2024-06-25 01:40:00,20.8,76,22.5,64,392,0,0,50,0,90,0.5908
2024-06-25 01:45:00,20.9,75.5,22.8,64,390,0,0,50,0,90,0.6043
2024-06-25 01:50:00,20.9,74.5,22.8,63,388,0,0,50,0,90,0.6316
2024-06-25 01:55:00,21,74,22.4,63,389,0,0,50,0,90,0.6466
2024-06-25 02:00:00,21,73.5,21.9,65,390,0,0,50,0,90,0.659
2024-06-25 02:05:00,21,73.5,22.2,65,399,0,0,50,0,90,0.659
2024-06-25 02:10:00,21,73,22.4,65,402,0,0,50,0,90,0.6701
2024-06-25 02:15:00,21.1,72,22.4,64,400,0,0,50,0,90,0.7006
2024-06-25 02:20:00,21.4,70,22.3,64,400,0,0,50,0,90,0.7646
2024-06-25 02:25:00,21.6,68.5,22.2,65,396,0,0,53,0,90,0.8144
2024-06-25 02:30:00,21.2,73.5,22,66,393,0,0,49,0,90,0.6658
2024-06-25 02:35:00,20.8,76,21.7,67,395,0,0,49,0,90,0.5884
2024-06-25 02:40:00,20.7,77,21.7,68,392,0,0,49,0,90,0.5604
2024-06-25 02:45:00,20.6,77,21.6,69,393,0,0,49,0,90,0.5569
2024-06-25 02:50:00,20.6,77.5,21.4,69,392,0,0,49,0,90,0.546
2024-06-25 02:55:00,20.6,76.5,21.3,70,391,0,0,49,0,90,0.5714
2024-06-25 03:00:00,20.7,76.5,21.2,71,391,0,0,49,0,90,0.5726
