timestamp; dry_weight; fresh_weight
02/08/2022; [0.18,0.11,0.12,0.06,0.19,0.18]; [1.98,1.62,1.52,1.05,2.32,2.15]
02/15/2022; [0.6,0.57,0.52,0.68,0.57,0.63]; [11.1,10.01,8.83,11.88,10.9,11.3]
02/22/2022; [1.67,1.53,1.55,1.54,1.57,1.66]; [34.16,31.12,32.21,30.22,32.78,34.62]
03/01/2022; [5.02,3.77,4.93,4.32,3.64,4.6]; [90.73,65.76,89.33,86.99,74.38,88.96]
03/08/2022; [8.15,8.61,9.26,7.21,8.34,8.13]; [170.88,204.94,148.3,157.98,186.46,158.57]
03/15/2022; [19.66,15.42,11.37,10.9,13.15,10.2]; [310.22,354,188.61,199.47,247.22,185.46]
03/18/2022; [13.11,15.27,13.55,14.11,16.01,17.22,14.68,13.05,13.70,15.61]; [260.40,310.80,303.20,382.20,357.30,352.70,321.40,301.30,292.10,302.80]
