Timestamp,Barcode,Total Weight,Fruit Number,Fruit Fresh Weight (3),Brix,Truss Weight,Total Fruit Weight,Fruit Dry Weight (3),D/F,Total DW,Individual Fruit Weight,Red fruit weight,FW:DW,Drymatter%,Notes
,1-1-A,,,,,,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,
,1-1-B,,,,,,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,
3/18/2021 12:40:12,1-2-A,57.03,10,16.66,10.7,6.14,50.86,1.75,0.105042016806723,5.34243697478992,5.086,5.55333333333333,9.52,10.5042016806723,
,1-2-B,,,,,,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,
,1-3-A,,,,,,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,
,1-3-B,,,,,,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,
3/18/2021 12:38:25,1-4-A,36.31,7,12.37,11.4,7.06,29.25,1.85,0.149555375909458,4.37449474535166,4.17857142857143,4.12333333333333,6.68648648648649,14.9555375909458,
,1-4-B,,,,,,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,
3/18/2021 12:30:45,1-5-A,59.78,12,17.08,11.2,7.28,52.5,1.83,0.107142857142857,5.625,4.375,5.69333333333333,9.33333333333333,10.7142857142857,
3/18/2021 12:11:26,1-5-B,60.08,9,15.44,8.8,11.68,48.41,1.34,0.086787564766839,4.20138601036269,5.37888888888889,5.14666666666667,11.5223880597015,8.67875647668394,
3/18/2021 12:28:42,1-6-A,74.85,11,25.04,9.3,8.23,66.59,2.45,0.097843450479233,6.51539536741214,6.05363636363636,8.34666666666667,10.2204081632653,9.78434504792332,
,1-6-B,,,,,,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,
3/18/2021 12:36:00,1-7-A,50.23,11,14.1,11.1,5.82,44.42,1.63,0.115602836879433,5.1350780141844,4.03818181818182,4.7,8.65030674846626,11.5602836879433,only 2
,1-7-B,123.91,19,41.36,9.85,14.58,109.34,4.06,0.09816247582205,10.733085106383,5.75473684210526,13.7866666666667,10.1871921182266,9.81624758220503,
3/18/2021 12:27:08,1-8-A,38.63,7,16.94,11.3,5.76,32.84,1.84,0.1086186540732,3.56703659976387,4.69142857142857,5.64666666666667,9.20652173913044,10.86186540732,
,1-8-B,46,15,14.92,12.55,9.11,36.93,2.12,0.142091152815013,5.24742627345844,2.462,4.97333333333333,7.03773584905661,14.2091152815013,
3/18/2021 12:34:41,1-9-A,23.5,6,8.94,12.1,5.43,18.07,1.3,0.145413870246085,2.62762863534676,3.01166666666667,2.98,6.87692307692308,14.5413870246085,
3/18/2021 12:13:55,1-9-B,45.7,9,11.07,10.7,5.27,40.2,1.38,0.124661246612466,5.01138211382114,4.46666666666667,3.69,8.02173913043479,12.4661246612466,
3/18/2021 12:32:38,1-10-A,24.6,8,7.56,10.1,5.22,19.33,0.97,0.128306878306878,2.48017195767196,2.41625,2.52,7.79381443298969,12.8306878306878,
3/18/2021 12:25:13,1-10-B,41.3,9,10.38,10.7,5.55,35.74,1.17,0.11271676300578,4.02849710982659,3.97111111111111,3.46,8.87179487179487,11.271676300578,
3/18/2021 12:22:25,1-11-A,98,12,30.71,10,8.26,89.53,3.19,0.103874959296646,9.29992510582872,7.46083333333333,10.2366666666667,9.6269592476489,10.3874959296646,
3/18/2021 12:19:03,1-11-B,17.18,4,10.06,,4.53,12.63,1.46,0.145129224652087,1.83298210735586,3.1575,3.35333333333333,6.89041095890411,14.5129224652087,
3/18/2021 12:17:36,1-12-A,56.55,11,15.03,11.5,6.25,50.27,1.84,0.122421823020625,6.15414504324684,4.57,5.01,8.16847826086956,12.2421823020625,
3/18/2021 12:20:20,1-12-B,14.98,2,11.87,,3.11,11.87,1.35,0.113732097725358,1.35,5.935,3.95666666666667,8.79259259259259,11.3732097725358,
3/18/2021 12:04:41,2-1-A,60.78,10,13.84,11,6.15,54.64,1.79,0.129335260115607,7.06687861271676,5.464,4.61333333333333,7.73184357541899,12.9335260115607,
3/18/2021 11:26:20,2-1-B,48.6,10,16.15,10.4,6.08,42.72,1.58,0.097832817337461,4.17941795665635,4.272,5.38333333333333,10.2215189873418,9.78328173374613,
3/18/2021 12:08:30,2-2-A,62.62,11,15.03,10.1,7.15,55.2,1.46,0.097139055222888,5.36207584830339,5.01818181818182,5.01,10.2945205479452,9.71390552228876,
