Timestamp,Barcode,Total Weight,Fruit Number,Fruit Fresh Weight (3),Brix,Truss Weight,Total Fruit Weight,Fruit Dry Weight (3),D/F,Total DW,Individual Fruit Weight,Red fruit weight,FW:DW,Drymatter%,Notes,,,
1/28/2021 11:45:17,2-3-A,115.07,10,32.59,10,16.23,98.79,3.26,0.100030684258975,9.88203129794415,9.879,10.8633333333333,9.99693251533742,10.0030684258975,,,,
1/28/2021 12:38:14,2-3-B,89.19,9,25.15,8.6,15.02,74.12,2.34,0.093041749502982,6.89625447316103,8.23555555555556,8.38333333333333,10.7478632478633,9.30417495029821,,,,
1/28/2021 11:42:49,2-4-A,78.08,9,21.93,11.3,11.27,66.7,2.5,0.113999088007296,7.60373917008664,7.41111111111111,7.31,8.772,11.3999088007296,,,,
1/28/2021 12:40:48,2-4-B,90.69,9,27.19,10.1,12.32,78.39,2.81,0.103346818683339,8.10135711658698,8.71,9.06333333333333,9.67615658362989,10.3346818683339,,,,
1/28/2021 11:47:22,2-5-A,94.22,11,22.14,11.5,12.75,81.59,2.38,0.107497741644083,8.77074074074074,7.41727272727273,7.38,9.30252100840336,10.7497741644083,,,,
1/28/2021 12:42:47,2-5-B,121.01,11,39.75,10.2,12.91,108.12,3.99,0.100377358490566,10.8528,9.82909090909091,13.25,9.96240601503759,10.0377358490566,,,,
1/28/2021 11:40:23,2-6-A,46.38,4,28.33,9.5,8.49,40.53,2.4,0.084715848923403,3.43353335686551,10.1325,9.44333333333333,11.8041666666667,8.47158489234028,only 1 fruit for brix,,,
1/28/2021 12:25:28,2-6-B,65.99,7,27.35,8.8,10.1,55.82,2.4,0.087751371115174,4.898281535649,7.97428571428571,9.11666666666667,11.3958333333333,8.77513711151737,,,,
1/28/2021 11:39:06,2-7-A,94.91,11,20.9,10.9,15.32,79.55,2.42,0.115789473684211,9.21105263157895,7.23181818181818,6.96666666666667,8.63636363636364,11.5789473684211,,,,
1/28/2021 12:18:51,2-7-B,80.57,8,33.4,9.6,9.63,71,3.1,0.092814371257485,6.58982035928144,8.875,11.1333333333333,10.7741935483871,9.2814371257485,,,,
1/28/2021 11:36:58,2-8-A,105.82,11,26.47,10.7,12.16,93.73,2.78,0.105024556101247,9.84395164336985,8.52090909090909,8.82333333333333,9.52158273381295,10.5024556101247,,,,
1/28/2021 12:29:26,2-8-B,104.11,11,26.25,8.6,12.07,92,2.48,0.094476190476191,8.69180952380953,8.36363636363636,8.75,10.5846774193548,9.44761904761905,,,,
1/28/2021 12:03:24,2-9-A,123.72,13,28.26,10.6,17.44,105.85,3.3,0.116772823779193,12.3604033970276,8.14230769230769,9.42,8.56363636363636,11.6772823779193,,,,
1/28/2021 12:27:46,2-9-B,110.98,9,29.6,10,14.4,96.44,2.79,0.094256756756757,9.09012162162162,10.7155555555556,9.86666666666667,10.6093189964158,9.42567567567568,,,,
1/28/2021 12:14:02,2-10-A,98.96,9,25.44,10.6,14.86,84.06,2.63,0.103380503144654,8.69016509433962,9.34,8.48,9.67300380228137,10.3380503144654,,,,
1/28/2021 12:10:24,2-10-B,77.96,10,23.5,10.2,10.01,67.57,2.53,0.107659574468085,7.27455744680851,6.757,7.83333333333333,9.28853754940712,10.7659574468085,,,,
1/28/2021 12:16:28,2-11-A,120.7,11,23.66,11.2,15.71,104.92,2.64,0.111580726965342,11.7070498732037,9.53818181818182,7.88666666666667,8.96212121212121,11.1580726965342,,,,
1/28/2021 12:05:21,2-11-B,72.5,9,25.64,11.6,11.04,61.52,2.9,0.113104524180967,6.95819032761311,6.83555555555556,8.54666666666667,8.84137931034483,11.3104524180967,,,,
1/28/2021 12:21:50,2-12-A,76.61,9,22.27,11.1,14.57,61.97,2.66,0.119443197126179,7.4018949259093,6.88555555555556,7.42333333333333,8.37218045112782,11.9443197126179,,,,
1/28/2021 12:08:16,2-12-B,63.05,7,22.18,12,15.06,48.04,2.45,0.110459873760144,5.30649233543733,6.86285714285714,7.39333333333333,9.0530612244898,11.0459873760144,,,,
