Timestamp,Barcode,Total Weight,Fruit Number,Fruit Fresh Weight (3),Brix,Truss Weight,Total Fruit Weight,Fruit Dry Weight (3),D/F,Total DW,Individual Fruit Weight,Red fruit weight,FW:DW,Drymatter%,Notes,,,,,,,,,,,,,,,,
,2-2-a,132.1,11,59.29,10.3,18.92,113.1,6.32,0.106594703997301,12.0558610220948,10.2818181818182,19.7633333333333,9.38132911392405,10.6594703997301,,,,,,,,,,,,,,,,,
,2-2-b,114.92,15,31.83,10.4,21.3,93.64,3.49,0.109644989004084,10.2671567703424,6.24266666666667,10.61,9.12034383954155,10.9644989004084,,,,,,,,,,,,,,,,,
,2-3-a,215.13,24,44.39,10.85,27.4,187.71,4.71,0.106104978598784,19.9169655327777,7.82125,14.7966666666667,9.42462845010616,10.6104978598784,,,,,,,,,,,,,,,,,
2/11/2021 15:07:13,2-3-b,93.52,7,35.49,10.5,11.58,78.91,3.72,0.104818258664413,8.27120879120879,11.2728571428571,11.83,9.54032258064516,10.4818258664413,,,,,,,,,,,,,,,,,
2/11/2021 16:16:50,2-4-a,98.09,11,22.94,11,12.27,85.73,2.84,0.123801220575414,10.6134786399303,7.79363636363636,7.64666666666667,8.0774647887324,12.3801220575414,,,,,,,,,,,,,,,,,
,2-4-b,116.66,16,37.34,10.2,21.77,94.9,3.57,0.095607927155865,9.07319228709159,5.93125,12.4466666666667,10.4593837535014,9.56079271558651,,,,,,,,,,,,,,,,,
,2-5-a,266.66,23,68.76,10.6,29.91,236.64,7.08,0.102966841186737,24.3660732984293,10.2886956521739,22.92,9.71186440677966,10.2966841186737,,,,,,,,,,,,,,,,,
,2-5-b,279.5,25,67.86,10.75,30.69,248.78,7.13,0.105069260241674,26.1391305629237,9.9512,22.62,9.51753155680224,10.5069260241674,,,,,,,,,,,,,,,,,
2/11/2021 15:45:47,2-6-a,81.56,6,34.18,9.9,11.1,70.46,3.15,0.09215915740199,6.49353423054418,11.7433333333333,11.3933333333333,10.8507936507936,9.21591574019895,,,,,,,,,,,,,,,,,
2/11/2021 15:36:05,2-6-b,63.41,7,23.03,9.3,9.37,54.06,2.1,0.091185410334347,4.92948328267477,7.72285714285714,7.67666666666667,10.9666666666667,9.11854103343465,,,,,,,,,,,,,,,,,
2/11/2021 15:43:59,2-7-a,105.1,10,24.63,10.7,16.47,88.64,3.04,0.123426715387739,10.9405440519691,8.864,8.21,8.10197368421052,12.3426715387739,,,,,,,,,,,,,,,,,
2/11/2021 15:17:15,2-7-b,42.59,6,15.87,10.3,8.23,34.45,1.54,0.097038437303088,3.34297416509137,5.74166666666667,5.29,10.3051948051948,9.70384373030876,,,,,,,,,,,,,,,,,
,2-8-a,289.75,25,66.97,10.05,27.12,262.59,6.41,0.095714499029416,25.1336703001344,10.5036,22.3233333333333,10.4477379095164,9.57144990294162,,,,,,,,,,,,,,,,,
,2-8-b,170.05,16,57.33,9.75,22.68,147.31,5.68,0.099075527646956,14.5948159776731,9.206875,19.11,10.0933098591549,9.90755276469563,,,,,,,,,,,,,,,,,
,2-9-a,235.63,23,65.44,10.35,32.7,202.81,7.05,0.107732273838631,21.8491824572127,8.81782608695652,21.8133333333333,9.2822695035461,10.7732273838631,,,,,,,,,,,,,,,,,
2/11/2021 14:58:46,2-9-b,96.28,10,24.67,11,14.44,81.92,2.55,0.103364410214836,8.46761248479935,8.192,8.22333333333333,9.67450980392157,10.3364410214836,,,,,,,,,,,,,,,,,
2/11/2021 16:15:01,2-10-a,84.75,11,21.12,12.7,14.38,70.3,2.5,0.118371212121212,8.32149621212121,6.39090909090909,7.04,8.448,11.8371212121212,,,,,,,,,,,,,,,,,
2/11/2021 15:01:00,2-10-b,61.17,8,19.51,11.6,8.88,52.28,2.23,0.114300358790364,5.97562275756023,6.535,6.50333333333333,8.74887892376682,11.4300358790364,,,,,,,,,,,,,,,,,
,2-11-a,178.31,17,58.03,11.2,23.1,155.12,6.74,0.116146820610029,18.0166948130277,9.12470588235294,19.3433333333333,8.60979228486647,11.6146820610029,,,,,,,,,,,,,,,,,
,2-11-b,123.11,13,42.46,11.85,21.94,101.2,5.14,0.121055110692416,12.2507772020725,7.78461538461538,14.1533333333333,8.26070038910506,12.1055110692416,,,,,,,,,,,,,,,,,
,2-12-a,134.35,16,46.42,10.4,25.02,108.75,5.18,0.111589831968979,12.1353942266265,6.796875,15.4733333333333,8.96138996138996,11.1589831968979,,,,,,,,,,,,,,,,,
,2-12-b,151.88,14,58.07,11.25,24.09,127.63,6.92,0.119166523161701,15.209223351128,9.11642857142857,19.3566666666667,8.39161849710983,11.9166523161701,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
