CO2_dosage,Electricity_Lamp,Heating_Energy,Labour,net_water,time
0.17186013986014,0,0,0,0.661424999759104,43326
0.184533333333333,0,0,0.00207971643518519,0.406124999974351,43327
0.183466666630904,0,0,0.00207971643518519,0.587715789183053,43328
0.177066666702429,0,0.178094998629747,0.00207971643518519,1.28021666649679,43329
0.171733333369096,0,0.0880031241529038,0.00207971643518519,0.583288235330209,43330
0.166399999964237,0,0,0.00207971643518519,0.503662499935879,43331
0.168533333369096,0,0,0.00207971643518519,1.15483999991886,43332
0.166400000035763,0,0.127248741193157,0.00207971643518519,1.01215714307196,43333
0.179200000035763,0,0,0.00207971643518519,1.54545112785963,43334
0.165333333369096,0,0.148168116065102,0.00207971643518519,1.3776,43335
0.131200000143051,0,0.927287808770074,0.00207971643518519,1.4792,43336
0.0874666665236155,0,1.42793062036433,0.00207971643518519,1.1996,43337
0.116266666702429,0,1.6502624944379,0.00207971643518519,1.5962,43338
0.147200000107288,0,0.6163031216262,0.00207971643518519,1.51479998994172,43339
0.0500869566336922,0.67203125,1.15768682295771,0.00207971643518519,1.0306,43340
0.0530506022855461,1.2365375,2.12367019370383,0.00207971643518519,2.41504999748543,43341
0.0913605949486942,0.359975,2.04215393292142,0.00406901041666667,2.19334999748543,43342
0.0891870969956921,0.62294375,1.83257171596535,0,2.3902,43343
0.127999999928474,0.9934375,1.88943187400825,0.00587745949074074,3.2124,43344
0.138666666738192,1.13953125,1.48163587524843,0.0153718171296296,3.3368,43345
0.112,1.528725,1.98373349989946,0.00768590856481482,2.8912,43346
0.112000000107288,1.6269,0.966648374557989,0,2.4848,43347
0.0714666665236156,1.59768125,1.08276149949741,0,2.506,43348
0.0917333336551984,1.95765625,1.63497449862335,0.000904224537037037,2.1706,43349
0.101333333619436,1.37328125,1.73075400044562,0.0049732349537037,5.2234,43350
0.127999999713898,1.55794375,1.23983231248628,0.00316478587962963,3.4706,43351
0.156800000035763,1.49015625,1.0283280006237,0,2.8772,43352
0.126933333404859,1.528725,0.999783750349287,0.0126591435185185,3.7716,43353
0.155733333440622,1.6853375,0.966263999812375,0.00542534722222222,3.0116,43354
0.104533333333333,2.24984375,0.925447124882268,0.00813802083333333,2.0306,43355
0.0949333333690961,1.276275,1.23318393706556,0.00768590856481482,2.9072,43356
0.106666667060057,1.1196625,1.38004837553026,0.000904224537037037,2.8494,43357
0.119466666702429,1.39315,1.23183112467088,0.000904224537037037,3.3104,43358
0.104533333440622,0.96421875,1.2170178722086,0,2.835,43359
0.104533333476384,1.051875,0.405845248521986,0.00180844907407407,3.0516,43360
0.132266667167346,1.03200625,0.0565799990580417,0.013111255787037,2.9794,43361
0.120533333011468,0.9934375,0.124498498143933,0.00262225115740741,2.7772,43362
0.122133333619436,1.1594,0.0267224977650498,0.00361689814814815,2.448,43363
0.134400000035763,1.37328125,0.00944249914529728,0.011302806712963,2.0636,43364
0.0704000000357628,1.79169375,0.911928936394331,0.00117549189814815,1.6262,43365
0.0565333333333333,2.4052875,1.0683157488529,0,1.5696,43366
0.0906666664520899,1.528725,1.06760549250308,0.0153718171296296,2.3106,43367
0.0704000001788139,1.43171875,1.11272474467432,0.00189887152777778,2.2284,43368
0.0703999997496605,1.276275,0.836705244104061,0.00126591435185185,2.5928,43369
0.0576000003933906,1.1594,0.984742683799923,0.0118453414351852,2.6894,43370
0.0970666660229366,1.36393125,0.884108996140273,0.0048828125,2.114,43371
0.091733333226045,1.1009625,0.994963872491628,0.000904224537037037,2.3072,43372
0.0832000000715256,1.26575625,0.878919373089279,0,2.425,43373
0.107733332939943,1.528725,0.877504872373254,0.0181749131944444,2.3828,43374
0.069333333226045,1.60703125,0.878405250203039,0.00135633680555556,1.8762,43375
0.0981333330114683,2.24984375,0.75499199717879,0.00226056134259259,2.5172,43376
0.0928000001430512,1.49950625,0.783968623268379,0.00868055555555556,1.9518,43377
0.0906666666309039,1.18861875,0.825781866877145,0.00171802662037037,2.2106,43378
0.0522666667381923,1.1781,0.77983725056007,0.00135633680555556,2.2406,43379
0.108800000107288,1.26575625,0.987454869806318,0,2.204,43380
0.0821333335479101,1.26575625,0.965568372163841,0.00614872685185185,2.4618,43381
0.0672000000715257,1.3440625,0.917624617703647,0.0163664641203704,2.4528,43382
0.125866666845481,1.31484375,0.940148619497441,0.000813802083333333,2.5928,43383
0.113066667167346,1.4609375,0.686888624116493,0.00732421875,2.4006,43384
0.123733333655198,1.26575625,0.719419874806152,0.00108506944444444,2.6006,43385
0.0725333331902821,1.2365375,0.709682062244947,0.000904224537037037,2.755,43386
0.105599999821186,1.3440625,0.6386778739192,0,2.725,43387
0.0672000006437301,1.39315,0.837683621699827,0.0215205439814815,2.4528,43388
0.0394666667381922,1.26575625,0.680447995783631,0.00153718171296296,2.0018,43389
0.0554666668097179,1.2271875,0.746866117148015,0.00135633680555556,2.2696,43390
0.0926117645165501,1.42236875,0.754101881100464,0.0096752025462963,NaN,43391
0.0920490975101071,2.0359625,0.891836312748511,0.00886140046296296,2.2118,43392
0.0746666668097178,1.88986875,0.986591995006013,0,1.8664,43393
0.0821333330829939,1.83143125,0.947032125119769,0,2.3662,43394
0.0895999999284744,1.4025,1.19933549564708,0.0168185763888889,2.194,43395
0.0821333333333333,2.2790625,0.905833869017686,0.00126591435185185,1.7952,43396
0.0949333333690961,2.29075,1.12117837501809,0.00271267361111111,1.9296,43397
0.0757333330472311,2.29075,1.29820349953546,0.00370732060185185,2.0296,43398
0.0629333333333333,2.29075,1.24360836931813,0.0147388599537037,1.5608,43399
