ProdA_cum,ProdA_num,ProdB_cum,ProdB_num,Prod_value_cum,Total_Prod_cum,time
0,0,0,0,0,0,43326
0,0,0,0,0,0,43327
0,0,0,0,0,0,43328
0,0,0,0,0,0,43329
0,0,0,0,0,0,43330
0,0,0,0,0,0,43331
0,0,0,0,0,0,43332
0,0,0,0,0,0,43333
0,0,0,0,0,0,43334
0,0,0,0,0,0,43335
0,0,0,0,0,0,43336
0,0,0,0,0,0,43337
0,0,0,0,0,0,43338
0,0,0,0,0,0,43339
0,0,0,0,0,0,43340
0,0,0,0,0,0,43341
0,0,0,0,0,0,43342
0,0,0,0,0,0,43343
0,0,0,0,0,0,43344
0,0,0,0,0,0,43345
0,0,0,0,0,0,43346
0,0,0,0,0,0,43347
0,0,0,0,0,0,43348
0.157581967213115,0.327868852459016,0.000327868852459029,0,0.0967213114754098,0.157909836065574,43349
0.976434426229508,2.09016393442623,0.00241803278688524,0,0.713319672131148,0.978852459016393,43350
1.91881147540984,2.5,0.00491803278688518,0.0409836065573771,1.46109631147541,1.92372950819672,43351
1.91881147540984,0,0.00491803278688518,0,1.46109631147541,1.92372950819672,43352
3.11979508196721,2.95081967213115,0.00786885245901603,0,2.34634221311475,3.12766393442623,43353
3.54811475409836,1.10655737704918,0.00897540983606504,0,2.67830942622951,3.55709016393443,43354
3.94467213114754,0.942622950819672,0.00991803278688463,0,2.96109631147541,3.95459016393443,43355
4.44209016393443,1.22950819672131,0.0111475409836066,0.0409836065573771,3.34039959016393,4.45323770491803,43356
5.14196721311475,1.88524590163934,0.0130327868852458,0,3.90597336065574,5.155,43357
5.68319672131148,1.4344262295082,0.0144672131147541,0,4.3363012295082,5.69766393442623,43358
5.68319672131148,0,0.0144672131147541,0,4.3363012295082,5.69766393442623,43359
6.42733606557377,1.80327868852459,0.0162704918032794,0.0409836065573771,4.8969262295082,6.44360655737705,43360
7.15844262295082,1.80327868852459,0.0180737704918039,0,5.4469262295082,7.17651639344262,43361
