EC_Drain,drain,pH_Drain,time,water
0.0500699300699303,0,0.0102097902074456,43326,0.661424999759104
0.0500694444421164,0,0.0102777777777777,43327,0.406124999974351
0.0500694444444447,0,0.010746527771957,43328,0.587715789183053
0.0500694444421164,0,0.0107465277824343,43329,1.28021666649679
0.0500000000000002,0,0.0105208333298408,43330,0.583288235330209
0.0500000000000002,0,0.0107118055532272,43331,0.503662499935879
0.0500694444491013,0,0.0106250000011641,43332,1.15483999991886
0.050069444446773,0,0.0104513888923813,43333,1.01215714307196
0.0500000000000002,0,0.0104166666608458,43334,1.54545112785963
2.91465277837965,0,3.37746527781619,43335,1.3776
5.08729166671672,1.85,6.18187499996159,43336,3.3292
4.74663194445957,1.9,6.32407986104476,43337,3.0996
4.45243055557184,2.02,6.38531249997089,43338,3.6162
4.16937499999418,4.34000001005828,6.42263888892381,43339,5.8548
4.32195652176586,2.93,6.18496376815482,43340,3.9606
4.36799196774896,0,6.20741935472921,43341,2.41504999748543
4.17559259261618,0,6.41114814813076,43342,2.19334999748543
4.29992831533408,4.67,6.53064516133839,43343,7.0602
4.98998263872009,4.02,6.31210069438972,43344,7.2324
5.74409722224085,4.24,6.11545138898435,43345,7.5768
6.15041666660613,5.03,5.96875000004074,43346,7.9212
6.32381944450615,3.37,5.59340277778009,43347,5.8548
6.30989583323672,2.66,5.29916666675398,43348,5.166
6.35638888888539,1.79,5.09690972219662,43349,3.9606
6.15538194444678,0,5.11895833328326,43350,5.2234
6.4009027778127,0.49,5.05585069446539,43351,3.9606
6.40229166666317,1.6,5.50034722227461,43352,4.4772
6.34565972221757,1.05,5.79395833343461,43353,4.8216
6.21868055558699,1.81,5.96477430556835,43354,4.8216
6.19538194451197,1.93,6.14677083339736,43355,3.9606
6.00107638956293,1.57,6.08501736178632,43356,4.4772
6.34034722213956,1.8,5.94718750001513,43357,4.6494
6.44322916649903,2.2,5.91302083329027,43358,5.5104
6.62819444439438,1.47,5.68048611099934,43359,4.305
6.77861111112508,1.77,5.6599999999744,43360,4.8216
7.03003472237007,1.67,5.48071180561724,43361,4.6494
7.34972222238637,1.7,5.36180555568128,43362,4.4772
7.43348958302134,1.57,5.43270833313193,43363,4.018
5.58782986138586,1.61,5.49829861095163,43364,3.6736
4.01850694426749,1.99,5.68744791649204,43365,3.6162
3.6571527778453,1.53,5.77913194447355,43366,3.0996
3.33038194458764,1.65,5.73805555555905,43367,3.9606
3.22407986113789,1.56,5.80289930539607,43368,3.7884
3.19730902777778,1.54,5.84315972224783,43369,4.1328
3.26241319453525,1.96,5.91248263889354,43370,4.6494
3.4010069444165,1.33,5.8155555554112,43371,3.444
3.35774305549502,2.17,5.89708333329026,43372,4.4772
3.28782986110878,1.88,5.79821180549037,43373,4.305
3.37781250001281,1.75,5.72093749996159,43374,4.1328
3.31592013897969,1.74,5.79765625019208,43375,3.6162
3.13451388889005,1.96,5.81263888891567,43376,4.4772
2.98282986114487,1.32,5.81774305548921,43377,3.2718
2.81802083334032,1.75,6.06355902775915,43378,3.9606
2.75496527781037,1.72,6.0549305554927,43379,3.9606
2.7809374999872,1.24,5.96927083331471,43380,3.444
2.80493055555555,0.81,5.91104166666317,43381,3.2718
2.67562500003376,1.68,6.20111111111809,43382,4.1328
2.66708333342181,1.54,6.22572916673535,43383,4.1328
2.69574652778709,1.56,6.17055555562076,43384,3.9606
2.73673611114138,1.36,6.10444444450264,43385,3.9606
2.75302083334963,1.55,6.0357638889308,43386,4.305
2.8464236111146,1.58,5.99390625013853,43387,4.305
2.99190972225016,1.68,5.88045138894127,43388,4.1328
2.95387152777196,1.27,5.86942708326348,43389,3.2718
