time,CO2_Vip,HeatTemp_Vip,HumDef_Vip,MinPipeGrow_Vip,MinPipeLow_Vip,VentLeewMin_Vip,VentLeew_Vip,VentWind_Vip,WaterSupInt_Vip
43326.30556,NaN,10,1.8,0,0,0,20.1,20.6,NaN
43326.30903,NaN,10,1.8,0,0,0,20.1,20.60000001,NaN
43326.3125,NaN,10.00000101,1.8,0,0,0,20.0000001,21.0000003,NaN
43326.31597,NaN,19.99999899,1.8,0,0,0,20.9999999,23.9999997,NaN
43326.31944,NaN,20,1.8,0,0,0,21,24,NaN
43326.32292,NaN,20,1.8,0,0,0,21,24,NaN
43326.32639,NaN,20,1.8,0,0,0,21,24,NaN
43326.32986,NaN,20,1.8,0,0,0,21,24,NaN
43326.33333,NaN,20,1.8,0,0,0,21,24,NaN
43326.33681,NaN,20,1.8,0,0,0,21,24,NaN
43326.34028,NaN,20,1.8,0,0,0,21,24,NaN
43326.34375,NaN,20,1.8,0,0,0,21,24,NaN
43326.34722,NaN,20,1.8,0,0,0,21,24,NaN
43326.35069,NaN,20,1.8,0,0,0,21,24,NaN
43326.35417,NaN,20,1.8,0,0,0,21,24,NaN
43326.35764,NaN,20,1.8,0,0,0,21,24,NaN
43326.36111,NaN,20,1.8,0,0,0,21,24,NaN
43326.36458,NaN,20,1.8,0,0,0,21,24,NaN
43326.36806,NaN,20,1.8,0,0,0,21,24,NaN
43326.37153,NaN,20,1.8,0,0,0,21,24,NaN
43326.375,NaN,20,1.8,0,0,0,21,24,NaN
43326.37847,NaN,20,1.8,0,0,0,21,24,NaN
43326.38194,NaN,20,1.8,0,0,0,21,24,NaN
43326.38542,NaN,20,1.8,0,0,0,21,24,NaN
43326.38889,NaN,20,1.8,0,0,0,21,24,NaN
43326.39236,NaN,20,1.8,0,0,0,21,24,NaN
43326.39583,NaN,20,1.8,0,0,0,21,24,NaN
43326.39931,NaN,20,1.8,0,0,0,21,24,NaN
43326.40278,NaN,20,1.8,0,0,0,21,24,NaN
43326.40625,NaN,20,1.8,0,0,0,21,24,NaN
43326.40972,NaN,20,1.8,0,0,0,21,24,NaN
43326.41319,NaN,20,1.8,0,0,0,21,24,NaN
43326.41667,NaN,20,1.8,0,0,0,21,24,NaN
43326.42014,NaN,20,1.8,0,0,0,21,24,NaN
43326.42361,NaN,20,1.8,0,0,0,21,24,NaN
43326.42708,NaN,20,1.8,0,0,0,21,24,NaN
43326.43056,NaN,20,1.8,0,0,0,21,24,NaN
43326.43403,NaN,20,1.8,0,0,0,21,24,NaN
43326.4375,NaN,20,1.8,0,0,0,21,24,NaN
43326.44097,NaN,20,1.8,0,0,0,21,24,NaN
43326.44444,NaN,20,1.8,0,0,0,21,24,NaN
43326.44792,NaN,20,1.8,0,0,0,21,24,NaN
43326.45139,NaN,20,1.8,0,0,0,21,24,NaN
43326.45486,NaN,20,1.8,0,0,0,21,24,NaN
43326.45833,NaN,20,1.8,0,0,0,21,24,NaN
43326.46181,NaN,20,1.8,0,0,0,21,24,NaN
43326.46528,NaN,20,1.8,0,0,0,21,24,NaN
43326.46875,NaN,20,1.8,0,0,0,21,24,NaN
43326.47222,NaN,20,1.8,0,0,0,21,24,NaN
43326.47569,NaN,20,1.8,0,0,0,21,24,NaN
43326.47917,NaN,20,1.8,0,0,0,21,24,NaN
43326.48264,NaN,20,1.8,0,0,0,21,24,NaN
43326.48611,NaN,20,1.8,0,0,0,21,24,NaN
43326.48958,NaN,20,1.8,0,0,0,21,24,NaN
43326.49306,NaN,20,1.8,0,0,0,21,24,NaN
43326.49653,NaN,20,1.8,0,0,0,21,24,NaN
43326.5,NaN,20,1.8,0,0,0,21,24,NaN
43326.50347,NaN,20,1.8,0,0,0,21,24,NaN
43326.50694,NaN,20,1.8,0,0,0,21,24,NaN
43326.51042,NaN,20,1.8,0,0,0,21,24,NaN
43326.51389,NaN,20,1.8,0,0,0,21,24,NaN
43326.51736,NaN,20,1.8,0,0,0,21,24,NaN
43326.52083,NaN,20,1.8,0,0,0,21,24,NaN
43326.52431,NaN,20,1.8,0,0,0,21,24,NaN
43326.52778,NaN,20,1.8,0,0,0,21,24,NaN
43326.53125,NaN,20,1.8,0,0,0,21,24,NaN
43326.53472,NaN,20,1.8,0,0,0,21,24,NaN
43326.53819,NaN,20,1.8,0,0,0,21,24,NaN
43326.54167,NaN,20,1.8,0,0,0,21,24,NaN
43326.54514,NaN,20,1.8,0,0,0,21,24,NaN
43326.54861,NaN,20,1.8,0,0,0,21,24,NaN
