EC_Drain,drain,pH_Drain,time,water
0.0700000000000002,0,0.0500000000000002,43326,0.661424999759104
0.0700000000000002,0,0.0500000000000002,43327,0.406124999974351
0.0700000000000002,0,0.0500347222245508,43328,0.587715789183053
0.0700000000000002,0,0.0500347222222225,43329,1.28021666649679
0.0700000000000002,0,0.0500000000000002,43330,0.583288235330209
0.0700000000000002,0,0.0500347222210583,43331,0.503662499935879
0.0700000000000002,0,0.0500347222222225,43332,1.15483999991886
0.0700000000000002,0,0.0500347222233866,43333,1.01215714307196
0.942239583277454,0,2.69993055521329,43334,1.54545112785963
1.82939236114604,0,5.66914930549851,43335,1.3984
1.70767361111111,2.4,6.16454861112275,43336,4.37
1.65758680560445,2.14,6.50060763885746,43337,3.933
1.82996527770793,2.25,6.54753472215121,43338,4.4574
1.84565972218264,5.00000000301748,6.51534722220127,43339,8.6526
2.11735507243583,4.15,5.75775362323822,43340,7.3416
2.20638554217002,0,5.51681451606549,43341,3.1
2.4247037036888,0,5.15025925917854,43342,2.9
2.76548387096053,0.96,5.10247311823991,43343,3.6708
3.34746527775798,0,5.16083333325185,43344,2.622
3.6028124999511,0,5.1602083333473,43345,2.622
3.79484374999767,0.96,5.79309027786159,43346,4.7196
3.80510416668063,0,6.02722222231535,43347,6.0306
3.92829861108783,0.18,5.44529513886444,43348,7.0794
3.89637152774518,2.53,4.69868055556836,43349,5.5062
3.70361111112625,2.31,4.35131944450731,43350,6.2928
3.82253472220825,3.29,4.20996527772655,43351,7.866
4.03847222227811,1.61,3.93395833341714,43352,5.5062
4.15572916674117,1.73,3.84750000002212,43353,5.5062
4.24946180556254,0.99,3.79373263888539,43354,4.9818
4.4005208333182,1.33,3.80440972219777,43355,4.1952
4.40420138891684,2.02,3.78267361112392,43356,6.2928
4.39218749996391,0.88,3.7340972222327,43357,4.9818
4.46184027777662,0.01,3.70732638887724,43358,0.2622
4.60935763883766,1.07,3.79473958331471,43359,6.2928
4.88736111101565,1.06,3.78854166667133,43360,5.7684
5.0672222222653,2.13,3.8045659722455,43361,6.2928
