2021-06-04_045005 CO2: 437.57ppm, temp: 19.19'C, rh: 81.93%
2021-06-04_050005 CO2: 436.46ppm, temp: 19.13'C, rh: 82.02%
2021-06-04_051005 CO2: 436.21ppm, temp: 19.06'C, rh: 82.23%
2021-06-04_052005 CO2: 440.82ppm, temp: 19.05'C, rh: 82.37%
2021-06-04_053005 CO2: 435.51ppm, temp: 19.10'C, rh: 82.18%
2021-06-04_054005 CO2: 437.96ppm, temp: 19.13'C, rh: 82.20%
2021-06-04_055005 CO2: 442.73ppm, temp: 19.13'C, rh: 82.20%
2021-06-04_060005 CO2: 447.92ppm, temp: 19.05'C, rh: 82.38%
2021-06-04_061005 CO2: 444.92ppm, temp: 19.02'C, rh: 82.62%
2021-06-04_062006 CO2: 452.56ppm, temp: 19.02'C, rh: 82.68%
2021-06-04_063006 CO2: 450.13ppm, temp: 19.06'C, rh: 82.70%
2021-06-04_064006 CO2: 446.72ppm, temp: 19.11'C, rh: 82.65%
2021-06-04_065006 CO2: 452.91ppm, temp: 19.05'C, rh: 82.67%
2021-06-04_070006 CO2: 446.95ppm, temp: 19.03'C, rh: 82.77%
2021-06-04_071006 CO2: 448.69ppm, temp: 19.05'C, rh: 82.85%
2021-06-04_072006 CO2: 453.27ppm, temp: 19.06'C, rh: 83.17%
2021-06-04_073006 CO2: 451.08ppm, temp: 19.09'C, rh: 82.86%
2021-06-04_074006 CO2: 450.44ppm, temp: 19.09'C, rh: 82.90%
2021-06-04_075006 CO2: 445.19ppm, temp: 19.11'C, rh: 82.85%
2021-06-04_080006 CO2: 452.97ppm, temp: 19.10'C, rh: 82.73%
2021-06-04_081015 CO2: 449.09ppm, temp: 19.14'C, rh: 82.75%
2021-06-04_082023 CO2: 448.97ppm, temp: 19.13'C, rh: 82.88%
2021-06-04_083032 CO2: 448.42ppm, temp: 19.13'C, rh: 82.86%
2021-06-04_084040 CO2: 446.40ppm, temp: 19.13'C, rh: 82.82%
2021-06-04_085049 CO2: 448.08ppm, temp: 19.14'C, rh: 82.87%
2021-06-04_090056 CO2: 447.08ppm, temp: 19.17'C, rh: 83.44%
2021-06-04_091102 CO2: 448.21ppm, temp: 21.29'C, rh: 93.48%
2021-06-04_092109 CO2: 449.42ppm, temp: 26.35'C, rh: 95.37%
2021-06-04_093116 CO2: 456.91ppm, temp: 26.32'C, rh: 89.62%
2021-06-04_094122 CO2: 471.20ppm, temp: 25.98'C, rh: 81.46%
