timestamp; dry_weight; fresh_weight
2022-02-08; [0.09,0.09,0.11,0.06,0.13,0.16]; [1.4,1.28,1.6,1.63,1.88,2.27]
2022-02-15; [0.97,1.09,0.98,1.09,1.11,0.94]; [11.7,12.49,11.68,12.87,12.32,10.83]
2022-02-22; [2.63,2.48,2.58,2.26,2.25,2.55]; [46.44,43.86,37.1,30.4,37.32,42.2]
2022-03-01; [4.57,4.82,5.69,3.68,3.44,4.14]; [83.51,83.01,96.35,60.43,54.17,74.81]
2022-03-08; [5.51,6.44,5.86,4.98,6.24,5.43]; [87.93,98.23,98.31,84.31,99.48,94.79]
2022-03-15; [11.01,9.21,9.36,5.38,7.17,9.31]; [193.72,157.29,178.46,84.5,119.04,182.54]
2022-03-21; [13.80,10.79,11.59,11.37,14.14,8.80,10.74,11.00,9.32,9.54]; [235.18,210.85,161.72,198.89,268.52,151.78,194.68,210.64,162.34,174.62]
