Harvest #,Treatment,Cultivar,TB#,TBFW,Mean TBFW/Berry,MB#,MBFW,Mean MBFW/Berry
14,CO2,CA,88,589.8,8.66122140522876,15,212.5,14.4757142857143
14,Control,CA,94,853.2,8.99465638528138,41,559.3,14.4515151515151
15,CO2,CA,31,297.7,10.144246031746,3,47.2,15.7333333333333
15,Control,CA,48,463.4,10.4062121212121,16,255.5,16.712962962963
16,CO2,CA,49,497.7,10.2657341269841,16,218,15.6768518518519
16,Control,CA,67,528.9,8.18659722222222,20,337,16.8324074074074
17,CO2,CA,79,780.7,9.7516341991342,23,446.6,19.3483333333333
17,Control,CA,93,1016.5,11.4374242424242,46,535,11.4002976190476
18,CO2,CA,61,578.7,9.38909722222222,11,147.7,14.697619047619
18,Control,CA,98,1054.6,10.8477866904338,47,755.6,16.1511111111111
19,CO2,CA,64,730.5,10.6549107142857,17,322.5,16.6018518518519
19,Control,CA,94,1130,12.3457551707552,52,628.1,13.1861706349206
20,CO2,CA,134,1497.2,11.483485958486,50,813.4,16.8340773809524
20,Control,CA,128,1009.1,7.60056307118807,53,724.5,13.5899537037037
21,CO2,CA,83,1018.9,11.8798131145171,32,507.9,17.6826111111111
21,Control,CA,128,1020.3,8.55378221315721,55,643.1,12.8548214285714
22,CO2,CA,107,1445.7,13.9140489718615,47,954.2,21.3519444444444
22,Control,CA,151,904.2,6.18241812925637,51,662.1,11.9757407407407
23,CO2,CA,76,773.2,10.2752482702483,23,428.5,18.3551666666667
23,Control,CA,102,661.1,6.90815205627706,30,250.9,10.5021428571429
24,CO2,CA,56,669.3,13.9696418732782,24,522.4,21.8780303030303
24,Control,CA,54,530.8,9.30689484126984,28,370,12.3367592592593
25,CO2,CA,44,446,11.1988015873016,19,148.4,13.2158163265306
25,Control,CA,44,449.6,10.1291666666667,22,281.8,12.2096666666667
26,CO2,CA,58,702.9,12.660873015873,23,491.6,20.630303030303
26,Control,CA,55,455.6,8.58045634920635,18,216,11.5560606060606
27,CO2,CA,46,561.3,12.2448148148148,16,280.1,16.3077777777778
27,Control,CA,46,374.9,8.20532407407407,12,111,9.14583333333333
