AssimLight,BlackScr,CO2air,EnScr,GHtime,HumDef,PipeGrow,PipeLow,RHair,Tair,VentLee,Ventwind
NaN,NaN,NaN,NaN,43326,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,43326.0034722222,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,480.000001240522,0,43326.0069444445,2.48000000234693,0,0,85.5999999865889,20,0,0.4
0,NaN,495,0,43326.0104166666,2.46,0,0,85.8,20.1,0,0.4
0,NaN,491.000001072883,0,43326.0138888889,2.38,0,0,86.2,20,0,0.4
0,NaN,506.999997854233,0,43326.0173611111,2.38,0,0,86.2,20,0,0.4
0,NaN,478.000001944602,0,43326.0208333334,2.30000000536442,0,0,86.5999999731779,19.9000000067055,0,0.4
0,NaN,494.999999430031,0,43326.0243055555,2.2600000013411,0,0,86.8999999899417,19.9999999966472,0,0.4
0,NaN,504.00000013411,0,43326.0277777778,2.19,0,0,87.2000000033528,19.9000000033528,0,0.4
0,NaN,507.999997887761,0,43326.03125,2.18999999497086,0,0,87.3000000201166,19.9999999899417,0,0.4
0,NaN,487.000002112239,0,43326.0347222222,2.14000000502914,0,0,87.4999999798834,19.9000000100583,0,0.4
0,NaN,495.999999698251,0,43326.0381944445,2.08000000201166,0,0,87.899999986589,19.9999999966472,0,0.4
0,NaN,486,0,43326.0416666666,2.08,0,0,87.9,20,0,0.4
0,NaN,506.999998927117,0,43326.0451388889,2.0200000013411,0,0,88.1999999932945,19.9,0,0.4
0,NaN,491.000002145767,0,43326.0486111111,2.03999999731779,0,0,88.100000013411,19.9,0,0.4
0,NaN,500.999999329448,0,43326.0520833334,1.99000000335276,0,0,88.3999999798834,19.9,0,0.4
0,NaN,498.000000100583,0,43326.0555555555,1.99,0,0,88.4,19.9,0,0.4
0,NaN,519.000000435859,0,43326.0590277778,1.92999999966472,0,0,88.7000000033528,19.9,0,0.4
0,NaN,531.999995674939,0,43326.0625,1.91999999597669,0,0,88.8000000201166,19.9,0,0.4
0,NaN,489.000004325061,0,43326.0659722222,1.88000000402331,0,0,88.9999999798834,19.9,0,0.4
0,NaN,484.000000167638,0,43326.0694444445,1.88999999966472,0,0,89,19.9999999966472,0,0.4
0,NaN,508,0,43326.0729166666,1.8,0,0,89.5,19.9,0,0.4
0,NaN,515.999998793006,0,43326.0763888889,1.8199999986589,0,0,89.5000000067055,20.1,0,0.4
0,NaN,498.000002413988,0,43326.0798611111,1.80000000268221,0,0,89.599999986589,20.1,0,0.4
0,NaN,502.999999664724,0,43326.0833333334,1.75000000335276,0,0,89.8999999798834,20.1,0,0.4
0,NaN,484.000000637025,0,43326.0868055555,1.74000000033528,0,0,89.9,20.0000000033528,0,0.4
0,NaN,496.000000100583,0,43326.0902777778,1.70999999966472,0,0,90.1000000033528,20.1,0,0.4
0,NaN,498.999999597669,0,43326.09375,1.69999999597669,0,0,90.2000000301748,20.1000000100583,0,0.4
0,NaN,495.000000402331,0,43326.0972222222,1.66000000402331,0,0,90.4999999698252,20.1999999899417,0,0.4
0,NaN,506.999999597669,0,43326.1006944445,1.64000000067055,0,0,90.5999999966472,20.2,0,0.4
0,NaN,496,0,43326.1041666666,1.63,0,0,90.7,20.3,0,0.4
0,NaN,503.000000268221,0,43326.1076388889,1.58999999731779,0,0,90.9000000134111,20.2,0,0.4
0,NaN,506.999999463558,0,43326.1111111111,1.55000000536442,0,0,91.0999999731779,20.2,0,0.4
0,NaN,507,0,43326.1145833334,1.54000000067055,0,0,91.1999999932945,20.2999999932945,0,0.4
0,NaN,498.000000301749,0,43326.1180555555,1.54,0,0,91.2,20.3,0,0.4
0,NaN,551.99999859184,0,43326.1215277778,1.50999999932945,0,0,91.4000000033528,20.3,0,0.4
0,NaN,509.999998591841,0,43326.125,1.48999999798834,0,0,91.5000000100583,20.3,0,0.4
0,NaN,496.000001408159,0,43326.1284722222,1.47000000201166,0,0,91.5999999899417,20.3,0,0.4
0,NaN,508.999999564141,0,43326.1319444445,1.47999999966472,0,0,91.6,20.3999999966472,0,0.4
0,NaN,517,0,43326.1354166666,1.46,0,0,91.7,20.4,0,0.4
0,NaN,491.000001475215,0,43326.1388888889,1.4200000013411,0,0,91.8999999932945,20.3,0,0.4
0,NaN,512.999997049571,0,43326.1423611111,1.43999999731779,0,0,91.8000000134111,20.3,0,0.4
0,NaN,516.999999731779,0,43326.1458333334,1.40000000268221,0,0,91.9999999865889,20.3,0,0.4
0,NaN,490.000000905246,0,43326.1493055555,1.40999999966472,0,0,92,20.3999999966472,0,0.4
0,NaN,497.000000134111,0,43326.1527777778,1.38999999966472,0,0,92.1,20.3999999966472,0,0.4
0,NaN,501.000000502914,0,43326.15625,1.38,0,0,92.1,20.3,0,0.4
0,NaN,505.999999497086,0,43326.1597222222,1.38,0,0,92.1,20.3,0,0.4
0,NaN,513.999999731779,0,43326.1631944445,1.35000000100583,0,0,92.2999999932945,20.3,0,0.4
0,NaN,507,0,43326.1666666666,1.37,0,0,92.2,20.3,0,0.4
0,NaN,495.000000536442,0,43326.1701388889,1.3499999986589,0,0,92.3000000067055,20.3,0,0.4
0,NaN,502.999998927117,0,43326.1736111111,1.33000000268221,0,0,92.399999986589,20.3,0,0.4
0,NaN,518.999998927116,0,43326.1770833334,1.32000000067055,0,0,92.4,20.2000000067055,0,0.4
0,NaN,498.00000070408,0,43326.1805555555,1.32,0,0,92.4,20.2,0,0.4
0,NaN,515.999999664724,0,43326.1840277778,1.31999999966472,0,0,92.4000000033528,20.2,0,0.4
