ProdA_cum,ProdA_num,ProdB_cum,ProdB_num,Prod_value_cum,Total_Prod_cum,time
0,0,0,0,0,0,43326
0,0,0,0,0,0,43327
0,0,0,0,0,0,43328
0,0,0,0,0,0,43329
0,0,0,0,0,0,43330
0,0,0,0,0,0,43331
0,0,0,0,0,0,43332
0,0,0,0,0,0,43333
0,0,0,0,0,0,43334
0,0,0,0,0,0,43335
0,0,0,0,0,0,43336
0,0,0,0,0,0,43337
0,0,0,0,0,0,43338
0,0,0,0,0,0,43339
0,0,0,0,0,0,43340
0,0,0,0,0,0,43341
0,0,0,0,0,0,43342
0,0,0,0,0,0,43343
0,0,0,0,0,0,43344
0,0,0,0,0,0,43345
0,0,0,0,0,0,43346
0,0,0,0,0,0,43347
0,0,0,0,0,0,43348
0.255327868852459,0.614754098360656,0,0,0.181352459016393,0.255327868852459,43349
1.02799180327869,1.88524590163934,0.0254098360655739,0.0819672131147541,0.758053278688525,1.05340163934426,43350
1.72131147540984,1.92622950819672,0.0379098360655739,0.040983606557377,1.33656762295082,1.75922131147541,43351
1.72131147540984,0,0.0379098360655739,0,1.33656762295082,1.75922131147541,43352
2.42053278688525,1.80327868852459,0.0682786885245901,0.0819672131147541,1.89845286885246,2.48881147540984,43353
2.72631147540984,0.901639344262295,0.0682786885245901,0,2.16894467213115,2.79459016393443,43354
3.20651639344262,1.35245901639344,0.0682786885245901,0,2.57468237704918,3.27479508196721,43355
3.6597131147541,1.27049180327869,0.0849590163934422,0.0409836065573771,2.96628073770492,3.74467213114754,43356
3.97065573770492,0.860655737704918,0.0849590163934426,0,3.22447745901639,4.05561475409836,43357
4.08782786885246,0.327868852459016,0.0849590163934426,0,3.3228381147541,4.1727868852459,43358
4.08782786885246,0,0.0849590163934426,0,3.3228381147541,4.1727868852459,43359
4.98762295081967,2.13114754098361,0.0849590163934426,0,3.9728381147541,5.07258196721311,43360
5.71,1.80327868852459,0.0849590163934426,0,4.5228381147541,5.79495901639344,43361
