AssimLight,BlackScr,CO2air,EnScr,GHtime,HumDef,PipeGrow,PipeLow,RHair,Tair,VentLee,Ventwind
NaN,NaN,NaN,NaN,43326,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,43326.0034722222,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,483.999999932945,0,43326.0069444445,2.75999999932945,0,0,84.1999999932945,20.1999999899417,0,0
0,0,479,0,43326.0104166666,2.64,0,0,84.6,19.9,0,0
0,0,482.000000469387,0,43326.0138888889,2.59999999932945,0,0,84.8000000067055,19.9,0,0
0,0,488.999999061227,0,43326.0173611111,2.5900000013411,0,0,84.899999986589,19.9,0,0
0,0,495.999999530613,0,43326.0208333334,2.53000000402331,0,0,85.2999999731779,19.9999999932945,0,0
0,0,489.000000234693,0,43326.0243055555,2.50000000100583,0,0,85.4999999932945,20,0,0
0,0,490.000000167638,0,43326.0277777778,2.46999999832362,0,0,85.6000000100583,19.9,0,0
0,0,494.999998793006,0,43326.03125,2.41999999597669,0,0,85.9000000301749,19.9000000100583,0,0
0,0,483.000001206994,0,43326.0347222222,2.38000000402331,0,0,86.1999999698252,19.9999999899417,0,0
0,0,503.99999929592,0,43326.0381944445,2.3400000013411,0,0,86.3999999932945,20,0,0
0,0,500,0,43326.0416666666,2.3,0,0,86.6,19.9,0,0
0,0,490,0,43326.0451388889,2.2599999986589,0,0,86.9,19.9999999932945,0,0
0,0,490,0,43326.0486111111,2.24000000268221,0,0,86.9,19.900000013411,0,0
0,0,499.999999329448,0,43326.0520833334,2.21000000201166,0,0,87.1999999798834,19.9999999932945,0,0
0,0,500,0,43326.0555555555,2.19000000067055,0,0,87.2999999966472,20,0,0
0,0,490.000000268221,0,43326.0590277778,2.18999999966472,0,0,87.3,19.9999999966472,0,0
0,0,497.999998893589,0,43326.0625,2.17999999698252,0,0,87.3000000201166,19.9000000100583,0,0
0,0,487.000001106411,0,43326.0659722222,2.15000000301748,0,0,87.4999999798834,19.9999999899417,0,0
0,0,495.999999698251,0,43326.0694444445,2.1100000013411,0,0,87.6999999932945,19.9000000033528,0,0
0,0,503,0,43326.0729166666,2.09,0,0,87.8,19.9,0,0
0,0,504.000000268221,0,43326.0763888889,2.04999999731779,0,0,88.1000000201166,20.0000000067055,0,0
0,0,507.999999463558,0,43326.0798611111,2.01000000536442,0,0,88.3999999597669,20.099999986589,0,0
0,0,503.000000335276,0,43326.0833333334,1.98000000201166,0,0,88.4999999932945,20.0000000067055,0,0
0,0,492.000000368804,0,43326.0868055555,1.96000000067055,0,0,88.6999999932945,20.0999999966472,0,0
0,0,500.999999932945,0,43326.0902777778,1.9499999986589,0,0,88.7000000100583,20.0000000033528,0,0
