EC_Drain,drain,pH_Drain,time,water
0,0,0.0100349650361373,43326,0.661424999759104
3.47222210580689e-05,0,0.00999999999999994,43327,0.406124999974351
3.47222210580689e-05,0,0.00999999999999994,43328,0.587715789183053
0,0,0.00999999999999994,43329,1.28021666649679
3.47222210580689e-05,0,0.00999999999999994,43330,0.583288235330209
0,0,0.0100347222222222,43331,0.503662499935879
0,0,0.0100347222222222,43332,1.15483999991886
3.47222245505282e-05,0,0.0100694444444444,43333,1.01215714307196
6.94444421161379e-05,0,0.00999999999999994,43334,1.54545112785963
0.015520833331005,0.03,2.14487847211279,43335,1.3776
1.23718749970081,1.61,5.7202951389308,43336,3.3292
2.41873263890868,1.73,5.94774305549502,43337,3.0996
2.29510416667947,1.79,6.10133680560444,43338,3.6162
2.22062500002096,4.65,6.18145833333566,43339,7.9212
2.30942028986479,1.3,5.79056159426971,43340,2.583
2.18630522088623,0,5.82338709679582,43341,2.7344
2.18999999996523,0,5.49718518519761,43342,2.39025
2.36498207888429,0.71,5.78605734760175,43343,3.444
2.21401041663524,0.29,5.97574652781387,43344,3.2718
2.47652777776497,0.93,6.00993055552878,43345,3.7884
2.53439236110762,1.64,6.28161458337873,43346,3.7884
2.52430555555672,1.79,6.41229166661778,43347,3.9606
2.62795138886677,1.43,6.26546874997089,43348,3.444
2.65737847221058,2.82,6.20607638893663,43349,4.4772
2.70104166665269,1.27,5.85260416664222,43350,4.4772
2.90918402777196,1.38,5.60407986099702,43351,4.4772
3.05317708332751,1.06,5.30843749998487,43352,4.4772
3.17583333330889,0.92,5.21621527783716,43353,3.9606
3.29916666665502,1.09,5.23968749987893,43354,4.4772
3.35277777774053,2.21,5.53802083314125,43355,4.4772
3.27631944445143,2.14,5.41234374990919,43356,5.5104
3.2663541666853,2.68,5.46930555551714,43357,5.8548
3.23503472220942,2.11,5.37378472231536,43358,3.9606
3.26008680557651,3.07,5.79407986117281,43359,5.5104
3.3680902777673,2.09,5.62378472226995,43360,5.6826
3.59906249997556,3.01,5.51644097228741,43361,6.1992
3.68569444446075,3.02,5.10093749993015,43362,6.027
3.61059027778942,3.11,4.95812499987544,43363,6.1992
3.50821180554973,2.33,4.97901041665153,43364,5.166
3.41881944440603,2.74,5.19954861130203,43365,4.9938
3.09993055555207,3.16,5.57895833322856,43366,4.9938
2.86295138888656,2.15,5.65517361103661,43367,5.5104
2.85784722228392,3.54,5.87213541652813,43368,6.027
2.83664930554391,3.22,5.75342013892381,43369,6.027
2.91152777781853,2.93,5.61696180549851,43370,6.027
2.97559027779291,3.17,5.36866319433967,43371,6.027
3.0212500000326,2.89,5.15822916657353,43372,6.027
3.04772569445609,2.7,5.2042534721384,43373,6.027
3.15749999999651,2.96,5.20979166654094,43374,6.027
3.13250000001513,2.43,5.24255208353473,43375,4.6494
3.00947916671323,3.75,5.04635416641754,43376,6.5436
2.79850694448868,3.81,4.58586805532738,43377,6.3714
2.60838541667714,3.91,4.53180555534834,43378,6.7158
2.5897916666655,3.88,4.52876736089691,43379,6.7158
2.65694444441302,3.36,4.45513888886445,43380,6.3714
2.63121527779408,3.83,4.67194444456203,43381,6.5436
2.50954861113439,3.51,4.69862847218729,43382,6.1992
2.49197916666783,3,4.6262152777545,43383,5.8548
2.54357638890053,3,4.61961805560096,43384,5.8548
2.5830555555509,3.16,4.55027777784879,43385,5.8548
2.6411111111309,3.32,4.4005555555183,43386,6.3714
2.79923611110297,3.62,4.27722222222223,43387,6.3714
2.99909722221524,3.68,4.05618055549152,43388,5.8548
3.06680555555206,4.17,3.93260416661777,43389,6.3714
3.10909722220127,3.64,3.79163194444328,43390,6.3714
3.16878676472191,NaN,3.74801470584907,43391,NaN
3.2249097472657,3.98,3.72967509027105,43392,6.3714
3.1382465277836,4.4,3.79654513883417,43393,6.3714
3.02477430556254,4.31,3.8180034721512,43394,6.3714
3.00065972221756,4.22,3.80548611108666,43395,6.3714
3.01845486109947,2.94,3.80821180536464,43396,5.166
2.99407986113672,4.23,3.90128472213084,43397,6.7158
2.89239583336244,4.85,3.94878472215121,43398,6.7158
2.81892361109598,4.86000000100583,3.86078124993714,43399,6.7158
2.86621527775915,4.35,3.75447916668878,43400,6.888
2.96327372261489,4.26,3.78223722628166,43401,7.0602
2.96461805555556,4.47,3.87930555550667,43402,6.7158
2.8897743055445,4.68,4.01578125000757,43403,6.4862
2.82442708337582,5.56,4.09409722234911,43404,7.9212
2.8182812500099,6.32,3.88954861107153,43405,8.4378
2.87975694441651,4.53,4.43336805533087,43406,7.2324
2.85057291664746,3.14,5.63763888867236,43407,5.3382
2.7995486111018,1.81,6.07086805549036,43408,4.305
2.82397569448344,1.9,6.1731076387847,43409,4.305
2.8231944444782,1.87,6.20885416654209,43410,4.305
2.86137152772248,1.77,6.09706597215296,43411,4.305
2.94102430558757,1.08,5.88737847215062,43412,3.9606
2.99680555550434,1.42,5.97284722219545,43413,3.9606
2.86861111114604,2.35,6.07447916673767,43414,4.9938
2.76055555553576,2.22,5.87008680558873,43415,4.9938
2.66638888886328,2.38,5.73204861113323,43416,4.9938
2.64086805554741,2.18,5.49395833336476,43417,4.9938
2.60291666666899,2.13,5.23678819448462,43418,4.9938
2.44951388886327,1.3,4.96406250006752,43419,4.1328
2.24749999999069,1.89,5.30829861112625,43420,4.4772
2.12156249997789,1.75,5.26880208337,43421,4.4772
2.05708333334614,1.78,5.13618055560561,43422,4.8216
2.01319444446657,1.54,5.11229166673768,43423,4.1328
1.99284722222688,1.66,5.28550347225307,43424,4.4772
1.93510416669577,1.75,5.53727430558989,43425,4.4772
1.87517361116583,1.81,5.66668402779349,43426,4.4772
1.93902777776847,1.78,5.61746527780223,43427,4.4772
1.98795138888191,1.76,5.55883680557942,43428,4.4772
1.97682156132825,1.79,5.54953531602578,43429,4.6494
1.97706597219486,1.75,5.55960069451953,43430,4.4772
2.1006597221873,1.54,5.5044791667435,43431,4.4772
2.2723263888819,1.53,5.42713541674292,43432,4.4772
2.4359722222036,1.63,5.41659722229905,43433,4.6494
2.56409722222688,1.98,5.37874999990687,43434,5.3382
2.69718749997323,2.86,5.29972222230138,43435,5.8548
2.77428819447296,2.87,5.19546875000407,43436,5.6826
2.78767361114603,3.04,5.11996527783134,43437,5.8548
2.85904513884872,3.31,5.1026736111309,43438,6.888
3.00010416675165,2.57,5.12128472225016,43439,5.5104
3.09371527781969,2.75,5.12520833344044,43440,5.5104
2.69722222225598,2.75,5.34840277779873,43441,5.5104
