ProdA_cum,ProdA_num,ProdB_cum,ProdB_num,Prod_value_cum,Total_Prod_cum,time
0,0,0,0,0,0,43326
0,0,0,0,0,0,43327
0,0,0,0,0,0,43328
0,0,0,0,0,0,43329
0,0,0,0,0,0,43330
0,0,0,0,0,0,43331
0,0,0,0,0,0,43332
0,0,0,0,0,0,43333
0,0,0,0,0,0,43334
0,0,0,0,0,0,43335
0,0,0,0,0,0,43336
0,0,0,0,0,0,43337
0,0,0,0,0,0,43338
0,0,0,0,0,0,43339
0,0,0,0,0,0,43340
0,0,0,0,0,0,43341
0,0,0,0,0,0,43342
0,0,0,0,0,0,43343
0,0,0,0,0,0,43344
0,0,0,0,0,0,43345
0,0,0,0,0,0,43346
0,0,0,0,0,0,43347
0,0,0,0,0,0,43348
0,0,0,0,0,0,43349
0.0288114754098361,0.0819672131147541,0,0,0.0241803278688525,0.0288114754098361,43350
0.14594262295082,0.327868852459016,0,0,0.120901639344262,0.14594262295082,43351
0.14594262295082,0,0,0,0.120901639344262,0.14594262295082,43352
0.885696721311475,1.84426229508197,0.0129098360655738,0.0409836065573771,0.684631147540984,0.898606557377049,43353
1.39872950819672,1.35245901639344,0.02827868852459,0.0409836065573771,1.10081967213115,1.42700819672131,43354
1.75795081967213,0.860655737704918,0.0433606557377049,0.0409836065573771,1.36946721311475,1.80131147540984,43355
2.47069672131148,1.76229508196721,0.0674180327868852,0.0819672131147541,1.91905737704918,2.53811475409836,43356
3.23225409836066,1.9672131147541,0.111024590163935,0.122950819672131,2.5405737704918,3.34327868852459,43357
3.44516393442623,0.573770491803279,0.111024590163935,0,2.71270491803279,3.55618852459016,43358
3.44516393442623,0,0.111024590163935,0,2.71270491803279,3.55618852459016,43359
4.1558606557377,1.80327868852459,0.111024590163935,0,3.26270491803279,4.26688524590164,43360
4.50639344262295,0.901639344262295,0.111024590163935,0,3.53770491803279,4.61741803278689,43361
4.83946721311475,0.901639344262295,0.111024590163935,0,3.81270491803279,4.95049180327869,43362
5.48434426229508,1.76229508196721,0.111024590163936,0,4.35020491803279,5.59536885245902,43363
6.14754098360656,1.88524590163934,0.111024590163936,0,4.92520491803279,6.25856557377049,43364
6.7197131147541,1.72131147540984,0.111024590163936,0,5.45020491803279,6.83073770491803,43365
6.7197131147541,0,0.111024590163936,0,5.45020491803279,6.83073770491803,43366
7.52909836065574,2.41803278688525,0.111024590163936,0,6.19979508196721,7.64012295081967,43367
8.70655737704918,3.9344262295082,0.111024590163936,0,7.41946721311475,8.81758196721312,43368
8.95504098360656,0.860655737704918,0.111024590163936,0,7.68627049180328,9.06606557377049,43369
9.44139344262295,1.72131147540984,0.111024590163936,0,8.21987704918033,9.55241803278689,43370
9.59930327868852,0.532786885245902,0.111024590163936,0,8.38504098360656,9.71032786885246,43371
9.86594262295082,0.860655737704918,0.111024590163936,0,8.65184426229508,9.97696721311475,43372
9.86594262295082,0,0.111024590163936,0,8.65184426229508,9.97696721311475,43373
10.1452868852459,0.778688524590164,0.111024590163936,0,8.89713114754099,10.2563114754098,43374
10.1452868852459,0,0.111024590163936,0,8.89713114754099,10.2563114754098,43375
10.9251229508197,2.04918032786885,0.347131147540985,0.737704918032787,9.74014344262295,11.2722540983607,43376
11.3156967213115,1.0655737704918,0.347131147540985,0,10.0757991803279,11.6628278688525,43377
11.7222540983607,1.10655737704918,0.396352459016395,0.163934426229508,10.4682581967213,12.118606557377,43378
12.2039344262295,1.35245901639344,0.542418032786886,0.450819672131148,11.0149897540984,12.7463524590164,43379
12.2039344262295,0,0.542418032786886,0,11.0149897540984,12.7463524590164,43380
12.9818032786885,2.04918032786885,0.734918032786885,0.614754098360656,11.8379405737705,13.7167213114754,43381
13.3924180327869,1.10655737704918,1.10991803278688,1.18852459016393,12.5153176229508,14.5023360655738,43382
13.6468442622951,0.655737704918033,1.17938524590164,0.204918032786885,12.7808913934426,14.8262295081967,43383
14.1243032786885,1.22950819672131,1.65483606557377,1.63934426229508,13.6202356557377,15.7791393442623,43384
14.4188114754098,0.819672131147541,1.89540983606557,0.901639344262295,14.1277766393443,16.3142213114754,43385
14.7344262295082,0.860655737704918,2.05045081967213,0.532786885245902,14.5481045081967,16.7848770491803,43386
14.7344262295082,0,2.05045081967213,0,14.5481045081967,16.7848770491803,43387
15.3470901639344,1.63934426229508,2.16262295081967,0.368852459016393,15.1876690573771,17.5097131147541,43388
15.6841803278689,0.901639344262295,2.34877049180328,0.614754098360656,15.6540881147541,18.0329508196721,43389
16.225368852459,1.47540983606557,3.0158606557377,2.21311475409836,16.7533606557377,19.2412295081967,43390
16.3176639344262,0.245901639344262,3.06454918032787,0.204918032786885,16.8909375,19.3822131147541,43391
16.5342213114754,0.573770491803279,3.45508196721311,1.4344262295082,17.4781557377049,19.9893032786885,43392
16.8379508196721,0.860655737704918,3.45508196721311,0,17.7600204918033,20.2930327868852,43393
16.8379508196721,0,3.45508196721311,0,17.7600204918033,20.2930327868852,43394
16.9787295081967,0.368852459016393,3.62790983606557,0.573770491803279,18.0469672131148,20.6066393442623,43395
17.2318852459016,0.655737704918033,3.77459016393442,0.491803278688525,18.4066803278689,21.0064754098361,43396
17.6938114754098,1.22950819672131,3.78877049180328,0.0409836065573771,18.8302356557377,21.4825819672131,43397
17.7864344262295,0.245901639344262,4.06983606557377,0.901639344262295,19.1693545081967,21.8562704918033,43398
17.9708606557377,0.491803278688525,4.4830737704918,1.4344262295082,19.7425614754098,22.4539344262295,43399
18.1475819672131,0.491803278688525,4.4830737704918,0,19.9073155737705,22.6306557377049,43400
